,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
1624,1540632034_TCP.D6L7.B1_Align,1,4.314692307692307,3.6823590671780995,5.972999999999999,4.745606709148707,0.8781021577025967,1.6239732164493519,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632034_TCP.D6L7.B1_Align,TCP,PROTON,I
1625,1540635904_TCTPH.4R2.B2_Align,1,7.299021739130432,2.064067343239433,14.117999999999999,-6.918068687655206,53.729464509037754,21.036068687655213,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540635904_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1626,1540614886_TCTPH.4R2.B2_Align,1,140.9814838709678,1.4021723304028244,206.70200000000003,170.3318433114723,1.0851448654199622,33.926227003032174,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540614886_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1627,1540632517_TCSG.D4L7.B1_Align,0,7.997518518518518,1.8873790241686224,11.402999999999999,8.304486673163739,127.8489477702316,3.0985133268361924,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632517_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1628,1540623736_TCSP.A4L6.B2_Align,0,4.359833333333335,2.7690030329331163,8.145000000000001,3.044529987148827,1.3350403575192262,5.314924013859989,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540623736_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1629,1540616938_TCTPH.4R2.B2_Align,0,106.30269230769231,2.8827269646086595,132.311,74.71758690725461,61.87446613074403,57.593413143884874,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540616938_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1630,1540633406_TCP.D6L7.B1_Align,0,-1.879130434782608,2.2010569962275772,7.964,-11.449953737105213,0.01697942993625679,13.468459010259647,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633406_TCP.D6L7.B1_Align,TCP,PROTON,I
1631,1540633824_TCSG.D4L7.B1_Align,0,9.197033519553074,1.4337359946206745,13.213000000000001,9.680016639343828,1.0742888753455706,4.01139577953392,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633824_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1632,1540624416_TCSP.A4L6.B2_Align,1,2.577861111111112,2.617966503864037,6.697,1.427476152506016,1.7809825870089913,5.279326279877419,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624416_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1633,1540629237_TCTPV.4R5.B2_Align,1,4.322280000000001,1.7635662658688964,14.661,2.067210522136787,601.7170433597228,12.593789477863378,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540629237_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
