Timestamp,position,BLMTI.04R5.B2I10_TCTPV.4R5.B2
1459606386630,2.935,5.43e-06
1459606386640,2.935,3.62e-06
1459606386650,2.935,4.706e-06
1459606386660,2.935,1.81e-06
1459606386670,2.935,4.343999999999999e-06
1459606386680,2.935,1.81e-06
1459606386690,2.935,3.62e-06
1459606386700,2.935,2.1719999999999997e-06
1459606386710,2.935,2.5340000000000002e-06
1459606386720,2.935,1.4480000000000002e-06
1459606386730,2.935,3.258e-06
1459606386740,2.935,3.62e-06
1459606386750,2.935,5.43e-06
1459606386760,2.935,4.706e-06
1459606386770,2.935,6.877999999999999e-06
1459606386780,2.935,5.0680000000000004e-06
1459606386790,2.935,7.24e-06
1459606386800,2.935,3.982e-06
1459606386810,2.935,5.43e-06
1459606386820,2.935,3.62e-06
1459606386830,2.935,3.258e-06
1459606386840,2.935,2.1719999999999997e-06
1459606386850,2.935,4.343999999999999e-06
1459606386860,2.935,2.8960000000000003e-06
1459606386870,2.935,3.258e-06
1459606386880,2.935,1.0859999999999999e-06
1459606386890,2.935,2.5340000000000002e-06
1459606386900,2.935,1.81e-06
1459606386910,2.935,2.5340000000000002e-06
1459606386920,2.935,7.240000000000001e-07
1459606386930,2.935,2.1719999999999997e-06
1459606386940,2.935,7.240000000000001e-07
1459606386950,2.935,2.5340000000000002e-06
1459606386960,2.935,1.4480000000000002e-06
1459606386970,2.935,1.81e-06
1459606386980,2.935,1.0859999999999999e-06
1459606386990,2.935,2.8960000000000003e-06
1459606387000,2.935,1.0859999999999999e-06
1459606387010,2.935,3.62e-06
1459606387020,2.935,2.8960000000000003e-06
1459606387030,2.935,3.982e-06
1459606387040,2.935,1.81e-06
1459606387050,2.935,1.4480000000000002e-06
1459606387060,2.935,1.0859999999999999e-06
1459606387070,2.935,2.1719999999999997e-06
1459606387080,2.935,1.0859999999999999e-06
1459606387090,2.935,1.81e-06
1459606387100,2.935,1.0859999999999999e-06
1459606387110,2.935,1.81e-06
1459606387120,2.935,7.240000000000001e-07
1459606387130,2.935,2.1719999999999997e-06
1459606387140,2.935,3.6200000000000004e-07
1459606387150,2.935,1.81e-06
1459606387160,2.935,1.4480000000000002e-06
1459606387170,2.935,1.4480000000000002e-06
1459606387180,2.935,1.0859999999999999e-06
1459606387190,2.935,1.0859999999999999e-06
1459606387200,2.935,7.240000000000001e-07
1459606387210,2.935,2.1719999999999997e-06
1459606387220,2.935,7.240000000000001e-07
1459606387230,2.935,1.81e-06
1459606387240,2.935,1.0859999999999999e-06
1459606387250,2.935,1.4480000000000002e-06
1459606387260,2.935,7.240000000000001e-07
1459606387270,2.935,2.5340000000000002e-06
1459606387280,2.935,7.240000000000001e-07
1459606387290,2.935,2.1719999999999997e-06
1459606387300,2.935,1.0859999999999999e-06
1459606387310,2.935,3.62e-06
1459606387320,2.935,2.8960000000000003e-06
1459606387330,2.935,5.0680000000000004e-06
1459606387340,2.935,3.258e-06
1459606387350,2.935,4.706e-06
1459606387360,2.935,1.4480000000000002e-06
1459606387370,2.935,3.258e-06
1459606387380,2.935,1.81e-06
1459606387390,2.935,2.5340000000000002e-06
1459606387400,2.935,7.240000000000001e-07
1459606387410,2.935,2.5340000000000002e-06
1459606387420,2.935,1.0859999999999999e-06
1459606387430,2.935,1.81e-06
1459606387440,2.935,7.240000000000001e-07
1459606387450,2.935,1.81e-06
1459606387460,2.935,3.6200000000000004e-07
1459606387470,2.935,2.5340000000000002e-06
1459606387480,2.935,2.1719999999999997e-06
1459606387490,2.935,4.343999999999999e-06
1459606387500,2.935,3.982e-06
1459606387510,2.935,2.8960000000000003e-06
1459606387520,2.935,1.81e-06
1459606387530,2.935,3.258e-06
1459606387540,2.935,2.1719999999999997e-06
1459606387550,2.935,2.5340000000000002e-06
1459606387560,2.935,7.240000000000001e-07
1459606387570,2.935,2.5340000000000002e-06
1459606387580,2.935,1.0859999999999999e-06
1459606387590,2.935,1.81e-06
1459606387600,2.935,7.240000000000001e-07
1459606387610,2.935,1.81e-06
1459606387620,2.935,1.4480000000000002e-06
1459606387630,2.935,2.1719999999999997e-06
1459606387640,2.935,3.6200000000000004e-07
1459606387650,2.935,1.4480000000000002e-06
1459606387660,2.935,1.4480000000000002e-06
1459606387670,2.935,1.4480000000000002e-06
1459606387680,2.935,7.240000000000001e-07
1459606387690,2.935,2.8960000000000003e-06
1459606387700,2.935,2.1719999999999997e-06
1459606387710,2.935,2.8960000000000003e-06
1459606387720,2.935,2.8960000000000003e-06
1459606387730,2.935,3.982e-06
1459606387740,2.935,2.1719999999999997e-06
1459606387750,2.935,6.154e-06
1459606387760,2.935,2.8960000000000003e-06
1459606387770,2.935,3.258e-06
1459606387780,2.935,2.5340000000000002e-06
1459606387790,2.935,4.343999999999999e-06
1459606387800,2.935,2.5340000000000002e-06
1459606387810,2.935,3.258e-06
1459606387820,2.935,2.5340000000000002e-06
1459606387830,2.935,4.706e-06
1459606387840,2.935,3.62e-06
1459606387850,2.935,5.0680000000000004e-06
1459606387860,2.935,3.62e-06
1459606387870,2.935,3.258e-06
1459606387880,2.935,3.258e-06
1459606387890,2.935,4.343999999999999e-06
1459606387900,2.935,3.62e-06
1459606387910,2.935,3.982e-06
1459606387920,2.935,2.8960000000000003e-06
1459606387930,2.935,2.8960000000000003e-06
1459606387940,2.935,2.8960000000000003e-06
1459606387950,2.935,3.982e-06
1459606387960,2.935,2.1719999999999997e-06
1459606387970,2.935,3.982e-06
1459606387980,2.935,4.343999999999999e-06
1459606387990,2.935,5.43e-06
1459606388000,2.935,3.258e-06
1459606388010,2.935,5.0680000000000004e-06
1459606388020,2.935,5.43e-06
1459606388030,2.935,6.154e-06
1459606388040,2.935,2.8960000000000003e-06
1459606388050,2.935,3.982e-06
1459606388060,2.935,1.81e-06
1459606388070,2.935,1.4480000000000002e-06
1459606388080,2.935,1.0859999999999999e-06
1459606388090,2.935,7.240000000000001e-07
1459606388100,2.935,1.4480000000000002e-06
1459606388110,2.935,7.240000000000001e-07
1459606388120,2.935,7.240000000000001e-07
1459606388130,2.935,1.81e-06
1459606388140,2.935,7.240000000000001e-07
1459606388150,2.935,1.0859999999999999e-06
1459606388160,2.935,3.6200000000000004e-07
1459606388170,2.935,2.5340000000000002e-06
1459606388180,2.935,0.0
1459606388190,2.935,1.4480000000000002e-06
1459606388200,2.935,1.0859999999999999e-06
1459606388210,2.935,2.1719999999999997e-06
1459606388220,2.935,7.240000000000001e-07
