Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605187630,-1.71,9.774e-05
1459605187640,-1.71,9.303399999999999e-05
1459605187650,-1.71,8.2536e-05
1459605187660,-1.71,6.6608e-05
1459605187670,-1.71,6.7332e-05
1459605187680,-1.71,4.959399999999999e-05
1459605187690,-1.71,4.706e-05
1459605187700,-1.71,4.4888e-05
1459605187710,-1.71,3.8734e-05
1459605187720,-1.71,3.3304e-05
1459605187730,-1.71,3.1132e-05
1459605187740,-1.71,2.534e-05
1459605187750,-1.71,2.715e-05
1459605187760,-1.71,2.3168000000000002e-05
1459605187770,-1.71,2.3168000000000002e-05
1459605187780,-1.71,1.8462e-05
1459605187790,-1.71,2.0272000000000002e-05
1459605187800,-1.71,1.8462e-05
1459605187810,-1.71,1.5204e-05
1459605187820,-1.71,1.5928e-05
1459605187830,-1.71,1.5566e-05
1459605187840,-1.71,1.5204e-05
1459605187850,-1.71,1.3394000000000001e-05
1459605187860,-1.71,1.1584000000000001e-05
1459605187870,-1.71,1.086e-05
1459605187880,-1.71,9.412e-06
1459605187890,-1.71,1.086e-05
1459605187900,-1.71,9.05e-06
1459605187910,-1.71,1.0136000000000001e-05
1459605187920,-1.71,9.05e-06
1459605187930,-1.71,6.877999999999999e-06
1459605187940,-1.71,8.326e-06
1459605187950,-1.71,8.326e-06
1459605187960,-1.71,6.877999999999999e-06
1459605187970,-1.71,5.792000000000001e-06
1459605187980,-1.71,5.0680000000000004e-06
1459605187990,-1.71,7.602e-06
1459605188000,-1.71,6.516e-06
1459605188010,-1.71,7.602e-06
1459605188020,-1.71,7.24e-06
1459605188030,-1.71,7.24e-06
1459605188040,-1.71,6.154e-06
1459605188050,-1.71,6.516e-06
1459605188060,-1.71,5.792000000000001e-06
1459605188070,-1.71,5.43e-06
1459605188080,-1.71,5.792000000000001e-06
1459605188090,-1.71,5.0680000000000004e-06
1459605188100,-1.71,3.982e-06
1459605188110,-1.71,3.982e-06
1459605188120,-1.71,3.258e-06
1459605188130,-1.71,3.982e-06
1459605188140,-1.71,2.5340000000000002e-06
1459605188150,-1.71,3.62e-06
1459605188160,-1.71,3.258e-06
1459605188170,-1.71,3.258e-06
1459605188180,-1.71,3.982e-06
1459605188190,-1.71,4.706e-06
1459605188200,-1.71,4.706e-06
1459605188210,-1.71,4.706e-06
1459605188220,-1.71,5.792000000000001e-06
1459605188230,-1.71,3.982e-06
1459605188240,-1.71,4.343999999999999e-06
1459605188250,-1.71,4.706e-06
1459605188260,-1.71,5.0680000000000004e-06
1459605188270,-1.71,5.43e-06
1459605188280,-1.71,4.343999999999999e-06
1459605188290,-1.71,5.43e-06
1459605188300,-1.71,4.343999999999999e-06
1459605188310,-1.71,6.877999999999999e-06
1459605188320,-1.71,5.792000000000001e-06
