Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1459608562160,2.87,5.792000000000001e-06
1459608562170,2.87,5.43e-06
1459608562180,2.87,4.706e-06
1459608562190,2.87,5.0680000000000004e-06
1459608562200,2.87,2.8960000000000003e-06
1459608562210,2.87,3.62e-06
1459608562220,2.87,3.258e-06
1459608562230,2.87,4.343999999999999e-06
1459608562240,2.87,4.343999999999999e-06
1459608562250,2.87,6.154e-06
1459608562260,2.87,7.602e-06
1459608562270,2.87,8.326e-06
1459608562280,2.87,7.24e-06
1459608562290,2.87,8.687999999999999e-06
1459608562300,2.87,5.43e-06
1459608562310,2.87,7.24e-06
1459608562320,2.87,6.877999999999999e-06
1459608562330,2.87,6.516e-06
1459608562340,2.87,5.792000000000001e-06
1459608562350,2.87,9.05e-06
1459608562360,2.87,6.877999999999999e-06
1459608562370,2.87,9.412e-06
1459608562380,2.87,5.792000000000001e-06
1459608562390,2.87,6.154e-06
1459608562400,2.87,5.792000000000001e-06
1459608562410,2.87,1.1222e-05
1459608562420,2.87,9.774e-06
1459608562430,2.87,1.7014e-05
1459608562440,2.87,1.3755999999999998e-05
1459608562450,2.87,2.534e-05
1459608562460,2.87,1.8462e-05
1459608562470,2.87,1.629e-05
1459608562480,2.87,1.4118e-05
1459608562490,2.87,1.8100000000000003e-05
1459608562500,2.87,1.4118e-05
1459608562510,2.87,1.9186e-05
1459608562520,2.87,1.2308e-05
1459608562530,2.87,2.2082e-05
1459608562540,2.87,1.8824e-05
1459608562550,2.87,2.353e-05
1459608562560,2.87,1.5204e-05
1459608562570,2.87,1.6652e-05
1459608562580,2.87,9.412e-06
1459608562590,2.87,9.774e-06
1459608562600,2.87,6.877999999999999e-06
1459608562610,2.87,7.24e-06
1459608562620,2.87,5.0680000000000004e-06
1459608562630,2.87,1.1222e-05
1459608562640,2.87,7.602e-06
1459608562650,2.87,1.3755999999999998e-05
1459608562660,2.87,9.412e-06
1459608562670,2.87,1.9186e-05
1459608562680,2.87,1.8462e-05
1459608562690,2.87,3.4028e-05
1459608562700,2.87,2.4254000000000002e-05
1459608562710,2.87,3.3304e-05
1459608562720,2.87,2.0272000000000002e-05
1459608562730,2.87,2.9684000000000002e-05
1459608562740,2.87,1.6652e-05
1459608562750,2.87,1.7014e-05
1459608562760,2.87,1.1945999999999999e-05
1459608562770,2.87,1.3032e-05
1459608562780,2.87,9.05e-06
1459608562790,2.87,1.1584000000000001e-05
1459608562800,2.87,7.602e-06
1459608562810,2.87,1.0136000000000001e-05
1459608562820,2.87,7.964e-06
1459608562830,2.87,1.0136000000000001e-05
1459608562840,2.87,8.687999999999999e-06
1459608562850,2.87,1.448e-05
1459608562860,2.87,1.1945999999999999e-05
1459608562870,2.87,1.5204e-05
1459608562880,2.87,9.05e-06
1459608562890,2.87,1.3032e-05
1459608562900,2.87,7.24e-06
1459608562910,2.87,1.0498e-05
1459608562920,2.87,9.412e-06
1459608562930,2.87,1.3755999999999998e-05
1459608562940,2.87,8.687999999999999e-06
1459608562950,2.87,1.267e-05
1459608562960,2.87,7.964e-06
1459608562970,2.87,7.964e-06
1459608562980,2.87,5.792000000000001e-06
1459608562990,2.87,5.792000000000001e-06
1459608563000,2.87,3.982e-06
1459608563010,2.87,4.706e-06
1459608563020,2.87,3.62e-06
1459608563030,2.87,5.43e-06
1459608563040,2.87,5.792000000000001e-06
1459608563050,2.87,8.687999999999999e-06
1459608563060,2.87,6.154e-06
1459608563070,2.87,7.602e-06
1459608563080,2.87,6.877999999999999e-06
1459608563090,2.87,7.24e-06
1459608563100,2.87,5.792000000000001e-06
1459608563110,2.87,6.516e-06
1459608563120,2.87,2.1719999999999997e-06
1459608563130,2.87,5.43e-06
1459608563140,2.87,5.43e-06
1459608563150,2.87,7.964e-06
1459608563160,2.87,5.0680000000000004e-06
1459608563170,2.87,5.792000000000001e-06
1459608563180,2.87,4.706e-06
1459608563190,2.87,4.343999999999999e-06
1459608563200,2.87,3.62e-06
1459608563210,2.87,3.62e-06
1459608563220,2.87,2.8960000000000003e-06
1459608563230,2.87,3.982e-06
1459608563240,2.87,3.258e-06
1459608563250,2.87,3.62e-06
1459608563260,2.87,2.8960000000000003e-06
1459608563270,2.87,3.258e-06
1459608563280,2.87,3.62e-06
1459608563290,2.87,4.343999999999999e-06
1459608563300,2.87,3.258e-06
1459608563310,2.87,5.43e-06
1459608563320,2.87,5.0680000000000004e-06
1459608563330,2.87,6.516e-06
1459608563340,2.87,5.43e-06
1459608563350,2.87,6.877999999999999e-06
1459608563360,2.87,5.0680000000000004e-06
1459608563370,2.87,9.05e-06
1459608563380,2.87,6.154e-06
1459608563390,2.87,1.1945999999999999e-05
1459608563400,2.87,9.05e-06
1459608563410,2.87,1.267e-05
1459608563420,2.87,9.412e-06
1459608563430,2.87,9.412e-06
1459608563440,2.87,7.24e-06
1459608563450,2.87,9.412e-06
1459608563460,2.87,7.24e-06
1459608563470,2.87,8.326e-06
1459608563480,2.87,6.154e-06
1459608563490,2.87,5.792000000000001e-06
1459608563500,2.87,3.62e-06
1459608563510,2.87,3.982e-06
1459608563520,2.87,3.258e-06
1459608563530,2.87,4.343999999999999e-06
1459608563540,2.87,2.8960000000000003e-06
1459608563550,2.87,3.62e-06
1459608563560,2.87,3.982e-06
1459608563570,2.87,3.982e-06
1459608563580,2.87,3.982e-06
1459608563590,2.87,4.706e-06
1459608563600,2.87,3.258e-06
1459608563610,2.87,6.154e-06
1459608563620,2.87,6.516e-06
