Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608456750,-3.345,2.8960000000000003e-06
1459608456760,-3.345,2.1719999999999997e-06
1459608456770,-3.345,2.1719999999999997e-06
1459608456780,-3.345,2.1719999999999997e-06
1459608456790,-3.345,1.81e-06
1459608456800,-3.345,2.5340000000000002e-06
1459608456810,-3.345,2.5340000000000002e-06
1459608456820,-3.345,2.8960000000000003e-06
1459608456830,-3.345,2.5340000000000002e-06
1459608456840,-3.345,2.8960000000000003e-06
1459608456850,-3.345,1.4480000000000002e-06
1459608456860,-3.345,2.8960000000000003e-06
1459608456870,-3.345,1.81e-06
1459608456880,-3.345,3.258e-06
1459608456890,-3.345,7.240000000000001e-07
1459608456900,-3.345,4.343999999999999e-06
1459608456910,-3.345,1.4480000000000002e-06
1459608456920,-3.345,5.43e-06
1459608456930,-3.345,4.706e-06
1459608456940,-3.345,8.687999999999999e-06
1459608456950,-3.345,7.24e-06
1459608456960,-3.345,8.687999999999999e-06
1459608456970,-3.345,9.05e-06
1459608456980,-3.345,9.412e-06
1459608456990,-3.345,1.1584000000000001e-05
1459608457000,-3.345,9.05e-06
1459608457010,-3.345,1.3032e-05
1459608457020,-3.345,1.1222e-05
1459608457030,-3.345,1.7738e-05
1459608457040,-3.345,1.9186e-05
1459608457050,-3.345,1.8824e-05
1459608457060,-3.345,2.353e-05
1459608457070,-3.345,2.715e-05
1459608457080,-3.345,3.4751999999999995e-05
1459608457090,-3.345,3.5476e-05
1459608457100,-3.345,3.3666e-05
1459608457110,-3.345,3.1856e-05
1459608457120,-3.345,3.077e-05
1459608457130,-3.345,2.896e-05
1459608457140,-3.345,2.5702e-05
1459608457150,-3.345,2.4254000000000002e-05
1459608457160,-3.345,2.534e-05
1459608457170,-3.345,2.7874e-05
1459608457180,-3.345,2.6426e-05
1459608457190,-3.345,2.7511999999999997e-05
1459608457200,-3.345,2.4616e-05
1459608457210,-3.345,2.2082e-05
1459608457220,-3.345,2.0272000000000002e-05
1459608457230,-3.345,1.6652e-05
1459608457240,-3.345,1.5566e-05
1459608457250,-3.345,1.7014e-05
1459608457260,-3.345,1.5928e-05
1459608457270,-3.345,1.8462e-05
1459608457280,-3.345,1.5204e-05
1459608457290,-3.345,1.5928e-05
1459608457300,-3.345,1.448e-05
1459608457310,-3.345,1.267e-05
1459608457320,-3.345,1.3032e-05
1459608457330,-3.345,1.2308e-05
1459608457340,-3.345,1.448e-05
1459608457350,-3.345,1.0498e-05
1459608457360,-3.345,1.2308e-05
1459608457370,-3.345,1.3394000000000001e-05
1459608457380,-3.345,1.5566e-05
1459608457390,-3.345,1.5566e-05
1459608457400,-3.345,1.448e-05
1459608457410,-3.345,1.3755999999999998e-05
1459608457420,-3.345,1.3394000000000001e-05
1459608457430,-3.345,1.2308e-05
1459608457440,-3.345,1.4842000000000001e-05
1459608457450,-3.345,1.8100000000000003e-05
1459608457460,-3.345,2.1358e-05
1459608457470,-3.345,2.9321999999999998e-05
1459608457480,-3.345,2.8236e-05
1459608457490,-3.345,2.4616e-05
1459608457500,-3.345,1.991e-05
1459608457510,-3.345,1.448e-05
1459608457520,-3.345,1.267e-05
1459608457530,-3.345,1.1222e-05
1459608457540,-3.345,1.2308e-05
1459608457550,-3.345,9.412e-06
1459608457560,-3.345,1.1222e-05
1459608457570,-3.345,1.086e-05
1459608457580,-3.345,1.0136000000000001e-05
1459608457590,-3.345,9.412e-06
1459608457600,-3.345,8.687999999999999e-06
1459608457610,-3.345,7.602e-06
1459608457620,-3.345,9.774e-06
1459608457630,-3.345,9.05e-06
1459608457640,-3.345,1.0136000000000001e-05
1459608457650,-3.345,1.0498e-05
1459608457660,-3.345,1.267e-05
1459608457670,-3.345,1.1945999999999999e-05
1459608457680,-3.345,1.267e-05
1459608457690,-3.345,1.267e-05
1459608457700,-3.345,9.774e-06
1459608457710,-3.345,9.412e-06
1459608457720,-3.345,1.0136000000000001e-05
1459608457730,-3.345,1.1584000000000001e-05
1459608457740,-3.345,1.448e-05
1459608457750,-3.345,1.4842000000000001e-05
1459608457760,-3.345,1.4842000000000001e-05
1459608457770,-3.345,1.4842000000000001e-05
1459608457780,-3.345,1.7014e-05
1459608457790,-3.345,1.3394000000000001e-05
1459608457800,-3.345,1.3755999999999998e-05
1459608457810,-3.345,1.086e-05
1459608457820,-3.345,1.0498e-05
1459608457830,-3.345,1.1584000000000001e-05
1459608457840,-3.345,1.3394000000000001e-05
1459608457850,-3.345,1.267e-05
1459608457860,-3.345,1.267e-05
1459608457870,-3.345,1.3755999999999998e-05
1459608457880,-3.345,1.629e-05
1459608457890,-3.345,1.7375999999999998e-05
