Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1459607590080,-3.6,5.1042e-05
1459607590090,-3.6,6.0816e-05
1459607590100,-3.6,5.1042e-05
1459607590110,-3.6,7.4934e-05
1459607590120,-3.6,5.792e-05
1459607590130,-3.6,7.348600000000001e-05
1459607590140,-3.6,5.429999999999999e-05
1459607590150,-3.6,5.4662e-05
1459607590160,-3.6,3.8372e-05
1459607590170,-3.6,4.0544000000000003e-05
1459607590180,-3.6,2.5702e-05
1459607590190,-3.6,2.5702e-05
1459607590200,-3.6,1.5204e-05
1459607590210,-3.6,1.7738e-05
1459607590220,-3.6,1.267e-05
1459607590230,-3.6,1.1584000000000001e-05
1459607590240,-3.6,6.877999999999999e-06
1459607590250,-3.6,9.05e-06
1459607590260,-3.6,5.0680000000000004e-06
1459607590270,-3.6,4.343999999999999e-06
1459607590280,-3.6,5.792000000000001e-06
1459607590290,-3.6,3.982e-06
1459607590300,-3.6,3.62e-06
1459607590310,-3.6,3.258e-06
1459607590320,-3.6,5.0680000000000004e-06
1459607590330,-3.6,4.706e-06
1459607590340,-3.6,4.343999999999999e-06
1459607590350,-3.6,3.982e-06
1459607590360,-3.6,6.877999999999999e-06
1459607590370,-3.6,7.24e-06
1459607590380,-3.6,5.792000000000001e-06
1459607590390,-3.6,7.964e-06
1459607590400,-3.6,6.516e-06
1459607590410,-3.6,7.24e-06
1459607590420,-3.6,6.877999999999999e-06
1459607590430,-3.6,9.412e-06
1459607590440,-3.6,5.0680000000000004e-06
1459607590450,-3.6,8.326e-06
1459607590460,-3.6,9.774e-06
1459607590470,-3.6,1.2308e-05
1459607590480,-3.6,9.774e-06
1459607590490,-3.6,1.629e-05
1459607590500,-3.6,1.3755999999999998e-05
1459607590510,-3.6,1.5928e-05
1459607590520,-3.6,1.1222e-05
1459607590530,-3.6,2.0996e-05
1459607590540,-3.6,1.3394000000000001e-05
1459607590550,-3.6,1.3755999999999998e-05
1459607590560,-3.6,9.412e-06
1459607590570,-3.6,1.2308e-05
1459607590580,-3.6,8.326e-06
1459607590590,-3.6,8.687999999999999e-06
1459607590600,-3.6,7.602e-06
1459607590610,-3.6,7.24e-06
1459607590620,-3.6,1.267e-05
1459607590630,-3.6,9.412e-06
1459607590640,-3.6,1.0136000000000001e-05
1459607590650,-3.6,1.6652e-05
1459607590660,-3.6,1.7738e-05
1459607590670,-3.6,1.5566e-05
1459607590680,-3.6,1.4118e-05
1459607590690,-3.6,1.7738e-05
1459607590700,-3.6,1.5204e-05
1459607590710,-3.6,1.3032e-05
1459607590720,-3.6,7.602e-06
1459607590730,-3.6,5.792000000000001e-06
1459607590740,-3.6,7.602e-06
1459607590750,-3.6,3.258e-06
1459607590760,-3.6,2.5340000000000002e-06
1459607590770,-3.6,1.81e-06
1459607590780,-3.6,4.343999999999999e-06
1459607590790,-3.6,2.8960000000000003e-06
1459607590800,-3.6,3.258e-06
1459607590810,-3.6,2.8960000000000003e-06
1459607590820,-3.6,1.3394000000000001e-05
1459607590830,-3.6,4.343999999999999e-06
1459607590840,-3.6,4.706e-06
1459607590850,-3.6,6.154e-06
1459607590860,-3.6,5.43e-06
1459607590870,-3.6,2.8960000000000003e-06
1459607590880,-3.6,2.1719999999999997e-06
1459607590890,-3.6,1.4480000000000002e-06
1459607590900,-3.6,3.62e-06
1459607590910,-3.6,7.240000000000001e-07
1459607590920,-3.6,2.1719999999999997e-06
1459607590930,-3.6,7.240000000000001e-07
1459607590940,-3.6,2.5340000000000002e-06
1459607590950,-3.6,7.240000000000001e-07
1459607590960,-3.6,2.5340000000000002e-06
1459607590970,-3.6,1.4480000000000002e-06
1459607590980,-3.6,2.8960000000000003e-06
1459607590990,-3.6,5.43e-06
1459607591000,-3.6,4.706e-06
1459607591010,-3.6,5.792000000000001e-06
1459607591020,-3.6,3.982e-06
1459607591030,-3.6,3.982e-06
1459607591040,-3.6,5.0680000000000004e-06
1459607591050,-3.6,3.982e-06
1459607591060,-3.6,4.706e-06
1459607591070,-3.6,6.877999999999999e-06
1459607591080,-3.6,6.877999999999999e-06
1459607591090,-3.6,8.687999999999999e-06
1459607591100,-3.6,7.602e-06
1459607591110,-3.6,5.43e-06
1459607591120,-3.6,5.43e-06
1459607591130,-3.6,7.964e-06
1459607591140,-3.6,6.516e-06
1459607591150,-3.6,5.43e-06
1459607591160,-3.6,5.0680000000000004e-06
1459607591170,-3.6,5.43e-06
1459607591180,-3.6,5.792000000000001e-06
1459607591190,-3.6,8.326e-06
1459607591200,-3.6,5.43e-06
1459607591210,-3.6,4.343999999999999e-06
1459607591220,-3.6,5.792000000000001e-06
1459607591230,-3.6,4.343999999999999e-06
1459607591240,-3.6,6.154e-06
1459607591250,-3.6,1.0498e-05
1459607591260,-3.6,1.1584000000000001e-05
1459607591270,-3.6,1.3032e-05
1459607591280,-3.6,1.1222e-05
1459607591290,-3.6,1.1945999999999999e-05
1459607591300,-3.6,9.412e-06
1459607591310,-3.6,8.326e-06
1459607591320,-3.6,7.602e-06
1459607591330,-3.6,8.687999999999999e-06
1459607591340,-3.6,1.1945999999999999e-05
1459607591350,-3.6,1.3755999999999998e-05
1459607591360,-3.6,1.0136000000000001e-05
1459607591370,-3.6,8.687999999999999e-06
1459607591380,-3.6,7.24e-06
1459607591390,-3.6,4.706e-06
1459607591400,-3.6,3.258e-06
1459607591410,-3.6,4.343999999999999e-06
1459607591420,-3.6,5.0680000000000004e-06
1459607591430,-3.6,4.706e-06
