Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1459601008850,8.99,7.240000000000001e-07
1459601008860,8.99,7.240000000000001e-07
1459601008870,8.99,0.0
1459601008880,8.99,7.240000000000001e-07
1459601008890,8.99,0.0
1459601008900,8.99,3.6200000000000004e-07
1459601008910,8.99,3.6200000000000004e-07
1459601008920,8.99,3.6200000000000004e-07
1459601008930,8.99,7.240000000000001e-07
1459601008940,8.99,3.6200000000000004e-07
1459601008950,8.99,1.0859999999999999e-06
1459601008960,8.99,7.240000000000001e-07
1459601008970,8.99,0.0
1459601008980,8.99,1.0859999999999999e-06
1459601008990,8.99,0.0
1459601009000,8.99,1.0859999999999999e-06
1459601009010,8.99,3.6200000000000004e-07
1459601009020,8.99,1.4480000000000002e-06
1459601009030,8.99,0.0
1459601009040,8.99,7.240000000000001e-07
1459601009050,8.99,3.6200000000000004e-07
1459601009060,8.99,1.0859999999999999e-06
1459601009070,8.99,3.6200000000000004e-07
1459601009080,8.99,0.0
1459601009090,8.99,7.240000000000001e-07
1459601009100,8.99,3.6200000000000004e-07
1459601009110,8.99,0.0
1459601009120,8.99,7.240000000000001e-07
1459601009130,8.99,0.0
1459601009140,8.99,3.6200000000000004e-07
1459601009150,8.99,7.240000000000001e-07
1459601009160,8.99,3.6200000000000004e-07
1459601009170,8.99,0.0
1459601009180,8.99,1.4480000000000002e-06
1459601009190,8.99,3.6200000000000004e-07
1459601009200,8.99,1.81e-06
1459601009210,8.99,0.0
1459601009220,8.99,1.0859999999999999e-06
1459601009230,8.99,0.0
1459601009240,8.99,3.6200000000000004e-07
1459601009250,8.99,3.6200000000000004e-07
1459601009260,8.99,1.0859999999999999e-06
1459601009270,8.99,0.0
1459601009280,8.99,3.6200000000000004e-07
1459601009290,8.99,3.6200000000000004e-07
1459601009300,8.99,0.0
1459601009310,8.99,0.0
1459601009320,8.99,7.240000000000001e-07
1459601009330,8.99,7.240000000000001e-07
1459601009340,8.99,3.6200000000000004e-07
1459601009350,8.99,0.0
1459601009360,8.99,3.6200000000000004e-07
1459601009370,8.99,0.0
1459601009380,8.99,3.6200000000000004e-07
1459601009390,8.99,0.0
1459601009400,8.99,3.6200000000000004e-07
1459601009410,8.99,0.0
1459601009420,8.99,1.81e-06
1459601009430,8.99,0.0
1459601009440,8.99,3.6200000000000004e-07
1459601009450,8.99,0.0
1459601009460,8.99,0.0
1459601009470,8.99,0.0
1459601009480,8.99,1.0859999999999999e-06
1459601009490,8.99,0.0
1459601009500,8.99,0.0
1459601009510,8.99,3.6200000000000004e-07
