Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1469748624340,1.44,5.1404e-05
1469748624350,1.44,5.0318e-05
1469748624360,1.44,5.0318e-05
1469748624370,1.44,5.6834e-05
1469748624380,1.44,4.6336000000000005e-05
1469748624390,1.44,4.5974e-05
1469748624400,1.44,3.4751999999999995e-05
1469748624410,1.44,3.8734e-05
1469748624420,1.44,3.5476e-05
1469748624430,1.44,4.0181999999999996e-05
1469748624440,1.44,3.801e-05
1469748624450,1.44,4.344e-05
1469748624460,1.44,4.1992e-05
1469748624470,1.44,4.7783999999999995e-05
1469748624480,1.44,4.706e-05
1469748624490,1.44,4.1268e-05
1469748624500,1.44,3.982e-05
1469748624510,1.44,3.8372e-05
1469748624520,1.44,3.1132e-05
1469748624530,1.44,4.0181999999999996e-05
1469748624540,1.44,3.2942e-05
1469748624550,1.44,4.2353999999999995e-05
1469748624560,1.44,3.1494e-05
1469748624570,1.44,3.982e-05
1469748624580,1.44,3.1132e-05
1469748624590,1.44,3.7648e-05
1469748624600,1.44,3.4028e-05
1469748624610,1.44,4.0906e-05
1469748624620,1.44,3.9458e-05
1469748624630,1.44,4.9956e-05
1469748624640,1.44,4.4888e-05
1469748624650,1.44,5.0318e-05
1469748624660,1.44,4.5611999999999996e-05
1469748624670,1.44,4.1992e-05
1469748624680,1.44,3.439e-05
1469748624690,1.44,3.7286e-05
1469748624700,1.44,3.6200000000000006e-05
1469748624710,1.44,3.1132e-05
1469748624720,1.44,2.715e-05
1469748624730,1.44,2.715e-05
1469748624740,1.44,2.534e-05
1469748624750,1.44,3.077e-05
1469748624760,1.44,2.7511999999999997e-05
1469748624770,1.44,3.5838000000000005e-05
1469748624780,1.44,2.7511999999999997e-05
1469748624790,1.44,3.5476e-05
1469748624800,1.44,2.6788000000000002e-05
1469748624810,1.44,2.9321999999999998e-05
1469748624820,1.44,2.9321999999999998e-05
1469748624830,1.44,3.6562e-05
1469748624840,1.44,3.077e-05
1469748624850,1.44,3.6200000000000006e-05
1469748624860,1.44,3.9458e-05
1469748624870,1.44,3.258e-05
1469748624880,1.44,3.4028e-05
1469748624890,1.44,3.2942e-05
1469748624900,1.44,2.353e-05
1469748624910,1.44,2.172e-05
1469748624920,1.44,2.0996e-05
1469748624930,1.44,2.8236e-05
1469748624940,1.44,2.6426e-05
1469748624950,1.44,2.6426e-05
1469748624960,1.44,2.896e-05
1469748624970,1.44,3.7648e-05
1469748624980,1.44,3.077e-05
1469748624990,1.44,3.1494e-05
1469748625000,1.44,2.5702e-05
1469748625010,1.44,2.6064e-05
1469748625020,1.44,2.0996e-05
1469748625030,1.44,4.0181999999999996e-05
1469748625040,1.44,3.2942e-05
1469748625050,1.44,4.1992e-05
1469748625060,1.44,2.4254000000000002e-05
1469748625070,1.44,3.6562e-05
1469748625080,1.44,1.8100000000000003e-05
1469748625090,1.44,2.7874e-05
1469748625100,1.44,2.2444e-05
1469748625110,1.44,2.6064e-05
1469748625120,1.44,2.7511999999999997e-05
1469748625130,1.44,2.9321999999999998e-05
1469748625140,1.44,3.4028e-05
1469748625150,1.44,3.1856e-05
1469748625160,1.44,2.4254000000000002e-05
1469748625170,1.44,2.896e-05
1469748625180,1.44,2.2082e-05
1469748625190,1.44,2.896e-05
1469748625200,1.44,2.353e-05
1469748625210,1.44,3.4751999999999995e-05
1469748625220,1.44,2.3168000000000002e-05
1469748625230,1.44,3.6562e-05
1469748625240,1.44,1.8100000000000003e-05
1469748625250,1.44,2.6064e-05
1469748625260,1.44,1.9548e-05
1469748625270,1.44,2.6788000000000002e-05
1469748625280,1.44,1.7375999999999998e-05
1469748625290,1.44,1.9548e-05
1469748625300,1.44,2.3891999999999998e-05
1469748625310,1.44,3.6924e-05
1469748625320,1.44,2.7874e-05
1469748625330,1.44,3.4028e-05
1469748625340,1.44,2.5702e-05
1469748625350,1.44,3.258e-05
1469748625360,1.44,2.2444e-05
1469748625370,1.44,3.0046e-05
1469748625380,1.44,2.0272000000000002e-05
1469748625390,1.44,2.7874e-05
1469748625400,1.44,1.8462e-05
1469748625410,1.44,2.172e-05
1469748625420,1.44,1.4118e-05
1469748625430,1.44,2.0272000000000002e-05
1469748625440,1.44,1.1222e-05
1469748625450,1.44,2.2444e-05
1469748625460,1.44,2.0272000000000002e-05
1469748625470,1.44,3.2942e-05
1469748625480,1.44,2.6064e-05
1469748625490,1.44,3.2218e-05
1469748625500,1.44,2.3891999999999998e-05
1469748625510,1.44,2.6426e-05
1469748625520,1.44,1.9548e-05
1469748625530,1.44,2.4254000000000002e-05
1469748625540,1.44,1.5928e-05
1469748625550,1.44,2.8598000000000003e-05
1469748625560,1.44,2.2082e-05
1469748625570,1.44,2.3168000000000002e-05
1469748625580,1.44,2.0996e-05
1469748625590,1.44,2.172e-05
1469748625600,1.44,1.6652e-05
1469748625610,1.44,1.7375999999999998e-05
1469748625620,1.44,1.5928e-05
1469748625630,1.44,2.3168000000000002e-05
1469748625640,1.44,2.3168000000000002e-05
1469748625650,1.44,2.9321999999999998e-05
1469748625660,1.44,2.2805999999999998e-05
1469748625670,1.44,2.9321999999999998e-05
1469748625680,1.44,1.8824e-05
1469748625690,1.44,2.172e-05
1469748625700,1.44,1.448e-05
