Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1469749045410,0.885,9.737799999999999e-05
1469749045420,0.885,0.000140818
1469749045430,0.885,0.000131044
1469749045440,0.885,9.520600000000001e-05
1469749045450,0.885,6.697e-05
1469749045460,0.885,6.0816e-05
1469749045470,0.885,6.0092e-05
1469749045480,0.885,5.6834e-05
1469749045490,0.885,5.2852e-05
1469749045500,0.885,5.6472e-05
1469749045510,0.885,6.0092e-05
1469749045520,0.885,6.841800000000001e-05
1469749045530,0.885,8.470799999999999e-05
1469749045540,0.885,7.4572e-05
1469749045550,0.885,8.326e-05
1469749045560,0.885,8.036399999999999e-05
1469749045570,0.885,0.00011801200000000001
1469749045580,0.885,0.00010715200000000001
1469749045590,0.885,0.000116926
1469749045600,0.885,0.000102084
1469749045610,0.885,9.4844e-05
1469749045620,0.885,8.108800000000001e-05
1469749045630,0.885,6.2988e-05
1469749045640,0.885,5.3213999999999996e-05
1469749045650,0.885,5.3213999999999996e-05
1469749045660,0.885,5.5748e-05
1469749045670,0.885,5.1766000000000005e-05
1469749045680,0.885,5.792e-05
1469749045690,0.885,6.3712e-05
1469749045700,0.885,8.3622e-05
1469749045710,0.885,9.9912e-05
1469749045720,0.885,8.9414e-05
1469749045730,0.885,7.8554e-05
1469749045740,0.885,7.2038e-05
1469749045750,0.885,7.783e-05
1469749045760,0.885,7.602e-05
1469749045770,0.885,8.434600000000001e-05
1469749045780,0.885,6.4074e-05
1469749045790,0.885,6.6246e-05
1469749045800,0.885,5.2128e-05
1469749045810,0.885,5.611e-05
1469749045820,0.885,5.1042e-05
1469749045830,0.885,6.3712e-05
1469749045840,0.885,6.1902e-05
1469749045850,0.885,7.0952e-05
1469749045860,0.885,6.5522e-05
1469749045870,0.885,6.7332e-05
1469749045880,0.885,6.1178e-05
1469749045890,0.885,5.429999999999999e-05
1469749045900,0.885,6.154e-05
1469749045910,0.885,6.5884e-05
1469749045920,0.885,7.0952e-05
1469749045930,0.885,6.9142e-05
1469749045940,0.885,7.9278e-05
1469749045950,0.885,8.108800000000001e-05
1469749045960,0.885,7.4572e-05
1469749045970,0.885,6.4436e-05
1469749045980,0.885,5.1404e-05
1469749045990,0.885,5.5748e-05
1469749046000,0.885,4.706e-05
1469749046010,0.885,6.2626e-05
1469749046020,0.885,7.8554e-05
1469749046030,0.885,0.000115116
1469749046040,0.885,0.000115478
1469749046050,0.885,0.00012127
1469749046060,0.885,9.774e-05
1469749046070,0.885,7.5658e-05
1469749046080,0.885,6.697e-05
1469749046090,0.885,6.0092e-05
1469749046100,0.885,6.335e-05
1469749046110,0.885,6.4074e-05
1469749046120,0.885,6.335e-05
1469749046130,0.885,6.4074e-05
1469749046140,0.885,7.1314e-05
1469749046150,0.885,6.697e-05
1469749046160,0.885,6.769399999999999e-05
1469749046170,0.885,5.8643999999999996e-05
1469749046180,0.885,5.611e-05
1469749046190,0.885,6.697e-05
1469749046200,0.885,6.950399999999999e-05
1469749046210,0.885,8.0002e-05
1469749046220,0.885,7.167600000000001e-05
1469749046230,0.885,7.0952e-05
1469749046240,0.885,6.2264e-05
1469749046250,0.885,6.3712e-05
1469749046260,0.885,5.3938000000000004e-05
1469749046270,0.885,5.792e-05
1469749046280,0.885,5.6834e-05
1469749046290,0.885,7.3848e-05
1469749046300,0.885,8.688e-05
1469749046310,0.885,9.520600000000001e-05
1469749046320,0.885,9.05e-05
1469749046330,0.885,7.4934e-05
1469749046340,0.885,6.841800000000001e-05
1469749046350,0.885,6.154e-05
1469749046360,0.885,6.335e-05
1469749046370,0.885,6.154e-05
1469749046380,0.885,7.4572e-05
1469749046390,0.885,8.289799999999999e-05
1469749046400,0.885,7.6382e-05
1469749046410,0.885,8.7604e-05
1469749046420,0.885,9.593e-05
1469749046430,0.885,0.000100274
1469749046440,0.885,7.5296e-05
1469749046450,0.885,7.3124e-05
1469749046460,0.885,6.6246e-05
1469749046470,0.885,6.697e-05
1469749046480,0.885,6.0453999999999994e-05
1469749046490,0.885,6.0816e-05
1469749046500,0.885,5.7196000000000006e-05
1469749046510,0.885,6.5884e-05
1469749046520,0.885,7.059e-05
1469749046530,0.885,7.6382e-05
1469749046540,0.885,7.783e-05
1469749046550,0.885,6.878e-05
1469749046560,0.885,7.7468e-05
1469749046570,0.885,6.769399999999999e-05
1469749046580,0.885,6.1178e-05
1469749046590,0.885,5.6472e-05
1469749046600,0.885,5.7196000000000006e-05
1469749046610,0.885,5.3938000000000004e-05
1469749046620,0.885,7.4934e-05
1469749046630,0.885,8.5432e-05
1469749046640,0.885,8.6156e-05
1469749046650,0.885,9.267200000000001e-05
1469749046660,0.885,7.9278e-05
1469749046670,0.885,8.9776e-05
1469749046680,0.885,6.5884e-05
1469749046690,0.885,5.9006000000000004e-05
1469749046700,0.885,5.6472e-05
1469749046710,0.885,7.276199999999999e-05
1469749046720,0.885,7.7106e-05
1469749046730,0.885,7.783e-05
