Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746994000,0.115,1.7014e-05
1469746994010,0.115,1.7375999999999998e-05
1469746994020,0.115,2.3891999999999998e-05
1469746994030,0.115,1.7738e-05
1469746994040,0.115,1.0136000000000001e-05
1469746994050,0.115,9.05e-06
1469746994060,0.115,5.0680000000000004e-06
1469746994070,0.115,7.602e-06
1469746994080,0.115,4.343999999999999e-06
1469746994090,0.115,5.0680000000000004e-06
1469746994100,0.115,3.982e-06
1469746994110,0.115,3.982e-06
1469746994120,0.115,5.43e-06
1469746994130,0.115,4.706e-06
1469746994140,0.115,4.706e-06
1469746994150,0.115,6.516e-06
1469746994160,0.115,1.086e-05
1469746994170,0.115,1.1222e-05
1469746994180,0.115,1.7375999999999998e-05
1469746994190,0.115,1.2308e-05
1469746994200,0.115,1.1222e-05
1469746994210,0.115,1.0498e-05
1469746994220,0.115,1.448e-05
1469746994230,0.115,1.4118e-05
1469746994240,0.115,7.964e-06
1469746994250,0.115,5.43e-06
1469746994260,0.115,3.258e-06
1469746994270,0.115,5.792000000000001e-06
1469746994280,0.115,7.24e-06
1469746994290,0.115,5.43e-06
1469746994300,0.115,3.258e-06
1469746994310,0.115,3.62e-06
1469746994320,0.115,3.982e-06
1469746994330,0.115,6.877999999999999e-06
1469746994340,0.115,4.343999999999999e-06
1469746994350,0.115,2.5340000000000002e-06
1469746994360,0.115,3.982e-06
1469746994370,0.115,4.343999999999999e-06
1469746994380,0.115,1.1222e-05
1469746994390,0.115,1.086e-05
1469746994400,0.115,7.964e-06
1469746994410,0.115,1.2308e-05
1469746994420,0.115,3.7648e-05
1469746994430,0.115,4.4888e-05
1469746994440,0.115,2.896e-05
1469746994450,0.115,1.2308e-05
1469746994460,0.115,8.326e-06
1469746994470,0.115,1.4842000000000001e-05
1469746994480,0.115,1.448e-05
1469746994490,0.115,1.0498e-05
1469746994500,0.115,4.343999999999999e-06
1469746994510,0.115,4.706e-06
1469746994520,0.115,4.343999999999999e-06
1469746994530,0.115,3.982e-06
1469746994540,0.115,3.62e-06
1469746994550,0.115,2.5340000000000002e-06
1469746994560,0.115,5.0680000000000004e-06
1469746994570,0.115,4.343999999999999e-06
1469746994580,0.115,5.0680000000000004e-06
1469746994590,0.115,5.0680000000000004e-06
1469746994600,0.115,7.602e-06
1469746994610,0.115,7.964e-06
1469746994620,0.115,1.0498e-05
1469746994630,0.115,1.3755999999999998e-05
1469746994640,0.115,1.3032e-05
1469746994650,0.115,1.0498e-05
1469746994660,0.115,2.3168000000000002e-05
1469746994670,0.115,2.4254000000000002e-05
1469746994680,0.115,2.2444e-05
1469746994690,0.115,1.267e-05
1469746994700,0.115,6.877999999999999e-06
1469746994710,0.115,6.516e-06
1469746994720,0.115,8.326e-06
1469746994730,0.115,5.0680000000000004e-06
1469746994740,0.115,4.706e-06
1469746994750,0.115,4.343999999999999e-06
1469746994760,0.115,6.877999999999999e-06
1469746994770,0.115,5.792000000000001e-06
1469746994780,0.115,5.0680000000000004e-06
1469746994790,0.115,2.8960000000000003e-06
1469746994800,0.115,5.0680000000000004e-06
1469746994810,0.115,2.8960000000000003e-06
1469746994820,0.115,3.62e-06
1469746994830,0.115,3.982e-06
1469746994840,0.115,5.43e-06
1469746994850,0.115,3.982e-06
1469746994860,0.115,3.982e-06
1469746994870,0.115,7.602e-06
1469746994880,0.115,1.448e-05
1469746994890,0.115,1.267e-05
1469746994900,0.115,7.964e-06
1469746994910,0.115,1.1222e-05
1469746994920,0.115,1.5204e-05
1469746994930,0.115,1.4842000000000001e-05
1469746994940,0.115,6.516e-06
1469746994950,0.115,5.0680000000000004e-06
1469746994960,0.115,3.982e-06
1469746994970,0.115,3.62e-06
