Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1469747349780,-1.44,1.3755999999999998e-05
1469747349790,-1.44,1.1945999999999999e-05
1469747349800,-1.44,1.3032e-05
1469747349810,-1.44,2.1358e-05
1469747349820,-1.44,1.3394000000000001e-05
1469747349830,-1.44,1.5204e-05
1469747349840,-1.44,1.086e-05
1469747349850,-1.44,1.3032e-05
1469747349860,-1.44,1.7014e-05
1469747349870,-1.44,1.1945999999999999e-05
1469747349880,-1.44,1.3032e-05
1469747349890,-1.44,1.086e-05
1469747349900,-1.44,1.267e-05
1469747349910,-1.44,1.1945999999999999e-05
1469747349920,-1.44,1.3755999999999998e-05
1469747349930,-1.44,9.05e-06
1469747349940,-1.44,1.1945999999999999e-05
1469747349950,-1.44,1.0498e-05
1469747349960,-1.44,1.1584000000000001e-05
1469747349970,-1.44,1.086e-05
1469747349980,-1.44,1.086e-05
1469747349990,-1.44,1.0136000000000001e-05
1469747350000,-1.44,1.1945999999999999e-05
1469747350010,-1.44,1.1222e-05
1469747350020,-1.44,1.1222e-05
1469747350030,-1.44,1.0136000000000001e-05
1469747350040,-1.44,1.1945999999999999e-05
1469747350050,-1.44,1.3032e-05
1469747350060,-1.44,1.629e-05
1469747350070,-1.44,1.0498e-05
1469747350080,-1.44,1.3755999999999998e-05
1469747350090,-1.44,1.267e-05
1469747350100,-1.44,1.4842000000000001e-05
1469747350110,-1.44,8.687999999999999e-06
1469747350120,-1.44,1.3394000000000001e-05
1469747350130,-1.44,1.267e-05
1469747350140,-1.44,1.1222e-05
1469747350150,-1.44,1.086e-05
1469747350160,-1.44,1.1945999999999999e-05
1469747350170,-1.44,1.3032e-05
1469747350180,-1.44,1.0136000000000001e-05
1469747350190,-1.44,1.0136000000000001e-05
1469747350200,-1.44,1.1584000000000001e-05
1469747350210,-1.44,1.0136000000000001e-05
1469747350220,-1.44,1.448e-05
1469747350230,-1.44,9.412e-06
1469747350240,-1.44,1.267e-05
1469747350250,-1.44,1.0498e-05
1469747350260,-1.44,1.448e-05
1469747350270,-1.44,1.3394000000000001e-05
1469747350280,-1.44,1.1222e-05
1469747350290,-1.44,1.267e-05
1469747350300,-1.44,1.267e-05
1469747350310,-1.44,1.3032e-05
1469747350320,-1.44,1.3032e-05
1469747350330,-1.44,1.086e-05
1469747350340,-1.44,1.4118e-05
1469747350350,-1.44,9.774e-06
1469747350360,-1.44,1.5204e-05
1469747350370,-1.44,1.086e-05
1469747350380,-1.44,1.1584000000000001e-05
1469747350390,-1.44,7.964e-06
1469747350400,-1.44,1.3032e-05
1469747350410,-1.44,7.964e-06
1469747350420,-1.44,7.964e-06
