Timestamp,position,BLMTI.05L7.B2I10_TCSG.B5L7.B2
1469748636240,1.4,2.2082e-05
1469748636250,1.4,2.3891999999999998e-05
1469748636260,1.4,2.172e-05
1469748636270,1.4,2.2444e-05
1469748636280,1.4,2.2444e-05
1469748636290,1.4,1.9548e-05
1469748636300,1.4,2.353e-05
1469748636310,1.4,2.353e-05
1469748636320,1.4,2.4978e-05
1469748636330,1.4,2.1358e-05
1469748636340,1.4,2.534e-05
1469748636350,1.4,2.1358e-05
1469748636360,1.4,2.6064e-05
1469748636370,1.4,2.3168000000000002e-05
1469748636380,1.4,2.6788000000000002e-05
1469748636390,1.4,2.534e-05
1469748636400,1.4,2.534e-05
1469748636410,1.4,2.3891999999999998e-05
1469748636420,1.4,2.4254000000000002e-05
1469748636430,1.4,2.1358e-05
1469748636440,1.4,2.7511999999999997e-05
1469748636450,1.4,2.4616e-05
1469748636460,1.4,2.4978e-05
1469748636470,1.4,2.5702e-05
1469748636480,1.4,2.3891999999999998e-05
1469748636490,1.4,2.353e-05
1469748636500,1.4,2.4616e-05
1469748636510,1.4,2.4254000000000002e-05
1469748636520,1.4,2.4616e-05
1469748636530,1.4,2.534e-05
1469748636540,1.4,2.6064e-05
1469748636550,1.4,2.2444e-05
1469748636560,1.4,2.4978e-05
1469748636570,1.4,2.353e-05
1469748636580,1.4,2.534e-05
1469748636590,1.4,2.1358e-05
1469748636600,1.4,2.3168000000000002e-05
1469748636610,1.4,2.1358e-05
1469748636620,1.4,2.2082e-05
1469748636630,1.4,1.991e-05
1469748636640,1.4,2.4978e-05
1469748636650,1.4,2.2805999999999998e-05
1469748636660,1.4,2.4616e-05
1469748636670,1.4,2.4978e-05
1469748636680,1.4,2.3891999999999998e-05
1469748636690,1.4,2.4254000000000002e-05
1469748636700,1.4,2.3891999999999998e-05
1469748636710,1.4,2.4978e-05
1469748636720,1.4,2.3891999999999998e-05
1469748636730,1.4,2.3891999999999998e-05
1469748636740,1.4,2.4616e-05
1469748636750,1.4,2.2082e-05
1469748636760,1.4,2.353e-05
1469748636770,1.4,2.0634e-05
1469748636780,1.4,2.4978e-05
1469748636790,1.4,2.1358e-05
1469748636800,1.4,2.0272000000000002e-05
1469748636810,1.4,2.1358e-05
1469748636820,1.4,2.172e-05
1469748636830,1.4,2.4254000000000002e-05
1469748636840,1.4,2.2805999999999998e-05
1469748636850,1.4,2.2805999999999998e-05
1469748636860,1.4,2.4616e-05
1469748636870,1.4,2.2444e-05
1469748636880,1.4,2.353e-05
1469748636890,1.4,2.2444e-05
1469748636900,1.4,2.534e-05
1469748636910,1.4,2.2444e-05
1469748636920,1.4,2.4254000000000002e-05
1469748636930,1.4,2.0996e-05
1469748636940,1.4,2.2082e-05
1469748636950,1.4,2.0996e-05
1469748636960,1.4,2.353e-05
1469748636970,1.4,2.2444e-05
1469748636980,1.4,2.534e-05
1469748636990,1.4,2.353e-05
1469748637000,1.4,2.5702e-05
1469748637010,1.4,2.5702e-05
1469748637020,1.4,2.2444e-05
1469748637030,1.4,2.1358e-05
1469748637040,1.4,2.4978e-05
1469748637050,1.4,2.2444e-05
1469748637060,1.4,2.4254000000000002e-05
1469748637070,1.4,2.1358e-05
1469748637080,1.4,2.3891999999999998e-05
1469748637090,1.4,2.2444e-05
1469748637100,1.4,2.4616e-05
1469748637110,1.4,2.172e-05
1469748637120,1.4,2.4616e-05
1469748637130,1.4,2.3168000000000002e-05
1469748637140,1.4,2.6064e-05
1469748637150,1.4,2.2082e-05
1469748637160,1.4,2.7511999999999997e-05
1469748637170,1.4,2.4616e-05
1469748637180,1.4,2.534e-05
1469748637190,1.4,2.2805999999999998e-05
1469748637200,1.4,2.6426e-05
1469748637210,1.4,2.2444e-05
1469748637220,1.4,2.4978e-05
1469748637230,1.4,2.2805999999999998e-05
1469748637240,1.4,2.2444e-05
1469748637250,1.4,2.2805999999999998e-05
1469748637260,1.4,2.715e-05
1469748637270,1.4,2.0996e-05
1469748637280,1.4,2.3891999999999998e-05
1469748637290,1.4,2.2444e-05
1469748637300,1.4,2.3891999999999998e-05
1469748637310,1.4,2.3168000000000002e-05
1469748637320,1.4,2.353e-05
1469748637330,1.4,2.172e-05
1469748637340,1.4,2.534e-05
1469748637350,1.4,2.4616e-05
1469748637360,1.4,2.6426e-05
1469748637370,1.4,2.353e-05
1469748637380,1.4,2.5702e-05
1469748637390,1.4,2.3168000000000002e-05
1469748637400,1.4,2.7511999999999997e-05
1469748637410,1.4,2.3891999999999998e-05
1469748637420,1.4,2.8236e-05
1469748637430,1.4,2.4254000000000002e-05
1469748637440,1.4,2.3891999999999998e-05
1469748637450,1.4,2.2082e-05
1469748637460,1.4,2.6426e-05
1469748637470,1.4,2.2082e-05
1469748637480,1.4,2.4978e-05
1469748637490,1.4,2.3168000000000002e-05
1469748637500,1.4,2.7511999999999997e-05
1469748637510,1.4,2.2444e-05
1469748637520,1.4,2.6064e-05
1469748637530,1.4,2.2444e-05
1469748637540,1.4,2.5702e-05
1469748637550,1.4,2.3891999999999998e-05
1469748637560,1.4,2.6064e-05
1469748637570,1.4,2.2805999999999998e-05
1469748637580,1.4,2.4616e-05
1469748637590,1.4,2.4254000000000002e-05
1469748637600,1.4,2.534e-05
1469748637610,1.4,2.3168000000000002e-05
1469748637620,1.4,2.3891999999999998e-05
1469748637630,1.4,2.2444e-05
1469748637640,1.4,2.4978e-05
1469748637650,1.4,2.2805999999999998e-05
1469748637660,1.4,2.6788000000000002e-05
1469748637670,1.4,2.3891999999999998e-05
1469748637680,1.4,2.4978e-05
1469748637690,1.4,2.1358e-05
1469748637700,1.4,2.4616e-05
1469748637710,1.4,2.3168000000000002e-05
1469748637720,1.4,2.4254000000000002e-05
1469748637730,1.4,2.0634e-05
1469748637740,1.4,2.4254000000000002e-05
1469748637750,1.4,2.3168000000000002e-05
1469748637760,1.4,2.6064e-05
1469748637770,1.4,2.0996e-05
1469748637780,1.4,2.3168000000000002e-05
1469748637790,1.4,2.2082e-05
1469748637800,1.4,2.172e-05
1469748637810,1.4,2.2082e-05
1469748637820,1.4,2.353e-05
1469748637830,1.4,2.0272000000000002e-05
1469748637840,1.4,2.4616e-05
1469748637850,1.4,2.4978e-05
1469748637860,1.4,2.534e-05
1469748637870,1.4,2.3891999999999998e-05
1469748637880,1.4,2.4254000000000002e-05
1469748637890,1.4,2.3891999999999998e-05
1469748637900,1.4,2.534e-05
1469748637910,1.4,2.1358e-05
1469748637920,1.4,2.172e-05
1469748637930,1.4,2.1358e-05
1469748637940,1.4,2.3168000000000002e-05
1469748637950,1.4,1.8824e-05
1469748637960,1.4,2.3168000000000002e-05
1469748637970,1.4,2.0996e-05
1469748637980,1.4,2.4616e-05
1469748637990,1.4,2.0634e-05
1469748638000,1.4,2.3168000000000002e-05
1469748638010,1.4,1.991e-05
1469748638020,1.4,2.4978e-05
1469748638030,1.4,2.2444e-05
1469748638040,1.4,2.353e-05
1469748638050,1.4,2.353e-05
1469748638060,1.4,2.353e-05
1469748638070,1.4,2.2805999999999998e-05
1469748638080,1.4,2.3891999999999998e-05
1469748638090,1.4,2.172e-05
1469748638100,1.4,2.4616e-05
1469748638110,1.4,2.0634e-05
1469748638120,1.4,2.2444e-05
1469748638130,1.4,2.1358e-05
1469748638140,1.4,2.534e-05
1469748638150,1.4,2.1358e-05
1469748638160,1.4,2.4978e-05
1469748638170,1.4,2.0996e-05
1469748638180,1.4,2.5702e-05
1469748638190,1.4,2.0272000000000002e-05
1469748638200,1.4,2.4254000000000002e-05
1469748638210,1.4,2.0634e-05
1469748638220,1.4,2.353e-05
1469748638230,1.4,2.3168000000000002e-05
1469748638240,1.4,2.5702e-05
1469748638250,1.4,2.172e-05
1469748638260,1.4,2.3168000000000002e-05
1469748638270,1.4,2.2444e-05
1469748638280,1.4,2.3168000000000002e-05
1469748638290,1.4,2.353e-05
1469748638300,1.4,2.4254000000000002e-05
1469748638310,1.4,2.0634e-05
1469748638320,1.4,2.3891999999999998e-05
1469748638330,1.4,2.353e-05
1469748638340,1.4,2.5702e-05
1469748638350,1.4,2.2444e-05
1469748638360,1.4,2.4254000000000002e-05
1469748638370,1.4,2.2082e-05
1469748638380,1.4,2.4616e-05
1469748638390,1.4,2.0634e-05
1469748638400,1.4,2.4978e-05
1469748638410,1.4,2.0996e-05
1469748638420,1.4,2.3891999999999998e-05
1469748638430,1.4,2.0634e-05
1469748638440,1.4,2.0996e-05
1469748638450,1.4,2.0996e-05
1469748638460,1.4,2.3168000000000002e-05
1469748638470,1.4,2.2444e-05
1469748638480,1.4,2.353e-05
1469748638490,1.4,2.2444e-05
1469748638500,1.4,2.6788000000000002e-05
1469748638510,1.4,2.4254000000000002e-05
1469748638520,1.4,2.6064e-05
1469748638530,1.4,2.0996e-05
1469748638540,1.4,2.1358e-05
1469748638550,1.4,1.9548e-05
1469748638560,1.4,2.353e-05
1469748638570,1.4,2.0634e-05
1469748638580,1.4,2.3168000000000002e-05
1469748638590,1.4,2.2444e-05
1469748638600,1.4,2.172e-05
1469748638610,1.4,2.2805999999999998e-05
1469748638620,1.4,2.2444e-05
1469748638630,1.4,2.2082e-05
1469748638640,1.4,2.3168000000000002e-05
1469748638650,1.4,2.1358e-05
1469748638660,1.4,2.172e-05
1469748638670,1.4,2.1358e-05
1469748638680,1.4,2.3891999999999998e-05
1469748638690,1.4,2.2082e-05
1469748638700,1.4,2.353e-05
1469748638710,1.4,2.2082e-05
1469748638720,1.4,2.6788000000000002e-05
1469748638730,1.4,1.8824e-05
1469748638740,1.4,2.4254000000000002e-05
1469748638750,1.4,2.2082e-05
1469748638760,1.4,2.534e-05
1469748638770,1.4,2.172e-05
1469748638780,1.4,2.6064e-05
1469748638790,1.4,2.2082e-05
1469748638800,1.4,2.3891999999999998e-05
1469748638810,1.4,2.0996e-05
