Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746011820,-0.875,0.00043114199999999997
1469746011830,-0.875,0.000158556
1469746011840,-0.875,0.00051766
1469746011850,-0.875,9.955e-05
1469746011860,-0.875,0.000175208
1469746011870,-0.875,6.4798e-05
1469746011880,-0.875,0.00010136
1469746011890,-0.875,6.4436e-05
1469746011900,-0.875,6.2988e-05
1469746011910,-0.875,7.3848e-05
1469746011920,-0.875,4.6698e-05
1469746011930,-0.875,4.9956e-05
1469746011940,-0.875,2.896e-05
1469746011950,-0.875,3.1856e-05
1469746011960,-0.875,1.5566e-05
1469746011970,-0.875,2.172e-05
1469746011980,-0.875,3.4028e-05
1469746011990,-0.875,7.8192e-05
1469746012000,-0.875,0.000174122
1469746012010,-0.875,0.00018462
1469746012020,-0.875,0.000164348
1469746012030,-0.875,7.7106e-05
1469746012040,-0.875,2.896e-05
1469746012050,-0.875,1.4118e-05
1469746012060,-0.875,9.05e-06
1469746012070,-0.875,1.1222e-05
1469746012080,-0.875,1.0498e-05
1469746012090,-0.875,2.1358e-05
1469746012100,-0.875,1.8824e-05
1469746012110,-0.875,3.258e-05
1469746012120,-0.875,1.4842000000000001e-05
1469746012130,-0.875,1.9186e-05
1469746012140,-0.875,1.1584000000000001e-05
1469746012150,-0.875,1.629e-05
1469746012160,-0.875,1.5566e-05
1469746012170,-0.875,1.8100000000000003e-05
1469746012180,-0.875,2.0272000000000002e-05
1469746012190,-0.875,1.267e-05
1469746012200,-0.875,1.086e-05
1469746012210,-0.875,1.0498e-05
1469746012220,-0.875,1.3394000000000001e-05
1469746012230,-0.875,1.2308e-05
1469746012240,-0.875,1.9548e-05
1469746012250,-0.875,2.0996e-05
1469746012260,-0.875,2.2805999999999998e-05
1469746012270,-0.875,2.0272000000000002e-05
1469746012280,-0.875,1.0136000000000001e-05
1469746012290,-0.875,7.602e-06
1469746012300,-0.875,6.516e-06
1469746012310,-0.875,9.05e-06
1469746012320,-0.875,1.629e-05
1469746012330,-0.875,6.0092e-05
1469746012340,-0.875,6.1178e-05
1469746012350,-0.875,7.5658e-05
1469746012360,-0.875,2.4978e-05
1469746012370,-0.875,1.5204e-05
1469746012380,-0.875,7.964e-06
1469746012390,-0.875,8.326e-06
1469746012400,-0.875,7.602e-06
1469746012410,-0.875,1.4842000000000001e-05
1469746012420,-0.875,3.2218e-05
1469746012430,-0.875,5.5023999999999994e-05
1469746012440,-0.875,5.429999999999999e-05
1469746012450,-0.875,1.8824e-05
1469746012460,-0.875,1.9186e-05
1469746012470,-0.875,1.1222e-05
