Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1469748079620,1.075,0.00025593400000000003
1469748079630,1.075,0.000109686
1469748079640,1.075,0.000127424
1469748079650,1.075,7.602e-05
1469748079660,1.075,4.3078e-05
1469748079670,1.075,8.507e-05
1469748079680,1.075,4.2716e-05
1469748079690,1.075,5.3938000000000004e-05
1469748079700,1.075,4.1268e-05
1469748079710,1.075,4.0181999999999996e-05
1469748079720,1.075,4.1268e-05
1469748079730,1.075,5.1042e-05
1469748079740,1.075,6.769399999999999e-05
1469748079750,1.075,5.6834e-05
1469748079760,1.075,6.2988e-05
1469748079770,1.075,0.000180638
1469748079780,1.075,0.000227336
1469748079790,1.075,0.000292858
1469748079800,1.075,0.00013683600000000002
1469748079810,1.075,0.000275844
1469748079820,1.075,0.0007011939999999999
1469748079830,1.075,0.00033340199999999995
1469748079840,1.075,0.00021683799999999999
1469748079850,1.075,0.000133578
1469748079860,1.075,0.000632414
1469748079870,1.075,0.000199462
1469748079880,1.075,0.000140456
1469748079890,1.075,6.4074e-05
1469748079900,1.075,0.000100998
1469748079910,1.075,9.122399999999999e-05
1469748079920,1.075,5.7196000000000006e-05
1469748079930,1.075,4.4164e-05
1469748079940,1.075,3.7286e-05
1469748079950,1.075,3.7648e-05
1469748079960,1.075,4.344e-05
1469748079970,1.075,5.973e-05
1469748079980,1.075,4.4526e-05
1469748079990,1.075,4.6336000000000005e-05
1469748080000,1.075,3.1494e-05
1469748080010,1.075,9.122399999999999e-05
1469748080020,1.075,7.0228e-05
1469748080030,1.075,8.869e-05
1469748080040,1.075,4.163e-05
1469748080050,1.075,0.00010498
1469748080060,1.075,0.00015385
1469748080070,1.075,9.0138e-05
1469748080080,1.075,0.00010498
1469748080090,1.075,4.9956e-05
1469748080100,1.075,7.0228e-05
1469748080110,1.075,4.4526e-05
1469748080120,1.075,7.1314e-05
1469748080130,1.075,3.7648e-05
1469748080140,1.075,3.982e-05
1469748080150,1.075,2.896e-05
1469748080160,1.075,3.6200000000000006e-05
1469748080170,1.075,3.5838000000000005e-05
1469748080180,1.075,4.1992e-05
1469748080190,1.075,3.6200000000000006e-05
1469748080200,1.075,3.258e-05
1469748080210,1.075,4.4526e-05
1469748080220,1.075,4.2353999999999995e-05
1469748080230,1.075,8.326e-05
1469748080240,1.075,5.429999999999999e-05
1469748080250,1.075,7.783e-05
1469748080260,1.075,4.5611999999999996e-05
1469748080270,1.075,0.000136474
1469748080280,1.075,0.00010353200000000001
1469748080290,1.075,9.8102e-05
1469748080300,1.075,7.7468e-05
1469748080310,1.075,6.516e-05
1469748080320,1.075,7.5658e-05
1469748080330,1.075,3.982e-05
1469748080340,1.075,4.5611999999999996e-05
1469748080350,1.075,2.9684000000000002e-05
1469748080360,1.075,3.4028e-05
1469748080370,1.075,2.8236e-05
1469748080380,1.075,3.6200000000000006e-05
1469748080390,1.075,2.4978e-05
1469748080400,1.075,3.3304e-05
1469748080410,1.075,2.9684000000000002e-05
1469748080420,1.075,5.0318e-05
1469748080430,1.075,4.959399999999999e-05
1469748080440,1.075,3.1132e-05
1469748080450,1.075,3.2942e-05
1469748080460,1.075,6.9866e-05
1469748080470,1.075,0.000205616
1469748080480,1.075,6.0453999999999994e-05
1469748080490,1.075,4.344e-05
1469748080500,1.075,4.887e-05
1469748080510,1.075,0.00015566
1469748080520,1.075,0.000102446
1469748080530,1.075,6.5884e-05
1469748080540,1.075,4.2716e-05
1469748080550,1.075,5.2128e-05
1469748080560,1.075,7.0228e-05
1469748080570,1.075,3.6562e-05
1469748080580,1.075,4.0181999999999996e-05
1469748080590,1.075,2.4978e-05
1469748080600,1.075,2.8236e-05
1469748080610,1.075,2.6064e-05
1469748080620,1.075,4.7422e-05
1469748080630,1.075,2.9321999999999998e-05
1469748080640,1.075,2.7511999999999997e-05
1469748080650,1.075,2.715e-05
1469748080660,1.075,5.792e-05
1469748080670,1.075,6.2988e-05
1469748080680,1.075,3.982e-05
1469748080690,1.075,3.6200000000000006e-05
1469748080700,1.075,6.5884e-05
1469748080710,1.075,0.000160366
1469748080720,1.075,7.276199999999999e-05
1469748080730,1.075,6.7332e-05
1469748080740,1.075,8.1812e-05
1469748080750,1.075,0.00017484599999999999
