Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
36	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
37	False	TCSG.4L3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.11508257905130713	0.0	0.0	0.0	20036.97	0.0	26.20989044	395.1961413	0.0010702679851771564	1.1508257905130713E-4	1.1508257905130713E-4	4.4687219285627144E-4	9.3	0.0	0.0	100%	0.955299	3.141589659002149E-4	3.141589659002149E-4	0.0	
38	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
39	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
40	False	TCSG.5R3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.16610865857362983	0.0	0.0	0.0	19850.48	0.0	54.60476917	298.618853	0.0015448105247347576	1.6610865857362984E-4	1.6610865857362984E-4	3.8845041948814256E-4	9.3	0.0	0.0	100%	-1.250069	4.1703056136083334E-4	4.1703056136083334E-4	0.0	
41	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
42	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
43	False	TCP.6R3.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.2577977363945464	0.0	0.0	0.0	19817.11	0.0	131.5237651	144.6934368	0.002062381891156371	2.577977363945464E-4	2.577977363945464E-4	2.70396707695591E-4	8.0	0.0	0.0	100%	-2.281374	7.441800204272816E-4	7.441800204272816E-4	0.0	
44	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
45	True	TCP.C6R7.B2	0.0	1.595	-1.37	2.964529165502783	0.11249999999999993	1.4825	n/a	n/a	n/a	5.375365846876012	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461061098275E9	
