Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678439410,0.06,1.0859999999999999e-06
1494678439420,0.06,1.0859999999999999e-06
1494678439430,0.06,1.81e-06
1494678439440,0.06,1.4480000000000002e-06
1494678439450,0.06,1.4480000000000002e-06
1494678439460,0.06,1.0859999999999999e-06
1494678439470,0.06,1.0859999999999999e-06
1494678439480,0.06,1.0859999999999999e-06
1494678439490,0.06,1.0859999999999999e-06
1494678439500,0.06,1.0859999999999999e-06
1494678439510,0.06,1.0859999999999999e-06
1494678439520,0.06,7.240000000000001e-07
1494678439530,0.06,1.0859999999999999e-06
1494678439540,0.06,7.240000000000001e-07
1494678439550,0.06,7.240000000000001e-07
1494678439560,0.06,3.6200000000000004e-07
1494678439570,0.06,1.4480000000000002e-06
1494678439580,0.06,0.0
1494678439590,0.06,1.0859999999999999e-06
1494678439600,0.06,1.0859999999999999e-06
1494678439610,0.06,1.0859999999999999e-06
1494678439620,0.06,3.6200000000000004e-07
1494678439630,0.06,1.81e-06
1494678439640,0.06,3.6200000000000004e-07
1494678439650,0.06,3.6200000000000004e-07
1494678439660,0.06,7.240000000000001e-07
1494678439670,0.06,7.240000000000001e-07
1494678439680,0.06,3.6200000000000004e-07
1494678439690,0.06,1.81e-06
1494678439700,0.06,3.6200000000000004e-07
1494678439710,0.06,1.0859999999999999e-06
1494678439720,0.06,1.0859999999999999e-06
1494678439730,0.06,1.4480000000000002e-06
1494678439740,0.06,1.0859999999999999e-06
1494678439750,0.06,1.0859999999999999e-06
1494678439760,0.06,7.240000000000001e-07
1494678439770,0.06,7.240000000000001e-07
1494678439780,0.06,1.0859999999999999e-06
1494678439790,0.06,1.0859999999999999e-06
1494678439800,0.06,3.6200000000000004e-07
1494678439810,0.06,1.4480000000000002e-06
1494678439820,0.06,3.6200000000000004e-07
1494678439830,0.06,1.4480000000000002e-06
1494678439840,0.06,3.6200000000000004e-07
1494678439850,0.06,1.81e-06
1494678439860,0.06,7.240000000000001e-07
1494678439870,0.06,7.240000000000001e-07
1494678439880,0.06,3.6200000000000004e-07
1494678439890,0.06,1.81e-06
1494678439900,0.06,7.240000000000001e-07
1494678439910,0.06,7.240000000000001e-07
1494678439920,0.06,1.0859999999999999e-06
1494678439930,0.06,7.240000000000001e-07
1494678439940,0.06,7.240000000000001e-07
1494678439950,0.06,1.0859999999999999e-06
1494678439960,0.06,1.0859999999999999e-06
1494678439970,0.06,7.240000000000001e-07
1494678439980,0.06,7.240000000000001e-07
1494678439990,0.06,1.4480000000000002e-06
1494678440000,0.06,7.240000000000001e-07
1494678440010,0.06,1.0859999999999999e-06
1494678440020,0.06,7.240000000000001e-07
1494678440030,0.06,1.0859999999999999e-06
1494678440040,0.06,7.240000000000001e-07
1494678440050,0.06,1.4480000000000002e-06
1494678440060,0.06,0.0
1494678440070,0.06,1.0859999999999999e-06
1494678440080,0.06,1.4480000000000002e-06
1494678440090,0.06,1.4480000000000002e-06
1494678440100,0.06,7.240000000000001e-07
1494678440110,0.06,1.4480000000000002e-06
1494678440120,0.06,7.240000000000001e-07
1494678440130,0.06,1.0859999999999999e-06
1494678440140,0.06,3.6200000000000004e-07
1494678440150,0.06,7.240000000000001e-07
1494678440160,0.06,7.240000000000001e-07
1494678440170,0.06,1.4480000000000002e-06
1494678440180,0.06,7.240000000000001e-07
1494678440190,0.06,2.1719999999999997e-06
1494678440200,0.06,1.0859999999999999e-06
1494678440210,0.06,7.240000000000001e-07
1494678440220,0.06,7.240000000000001e-07
1494678440230,0.06,7.240000000000001e-07
1494678440240,0.06,3.6200000000000004e-07
1494678440250,0.06,2.5340000000000002e-06
1494678440260,0.06,0.0
1494678440270,0.06,1.4480000000000002e-06
1494678440280,0.06,7.240000000000001e-07
1494678440290,0.06,3.6200000000000004e-07
1494678440300,0.06,1.4480000000000002e-06
1494678440310,0.06,1.4480000000000002e-06
1494678440320,0.06,1.0859999999999999e-06
1494678440330,0.06,7.240000000000001e-07
1494678440340,0.06,1.4480000000000002e-06
1494678440350,0.06,7.240000000000001e-07
