Timestamp,position,BLMTI.06L3.B1I10_TCP.6L3.B1
1494674591240,-0.95,3.6200000000000004e-07
1494674591250,-0.95,7.240000000000001e-07
1494674591260,-0.95,1.0859999999999999e-06
1494674591270,-0.95,3.6200000000000004e-07
1494674591280,-0.95,1.0859999999999999e-06
1494674591290,-0.95,7.240000000000001e-07
1494674591300,-0.95,1.0859999999999999e-06
1494674591310,-0.95,7.240000000000001e-07
1494674591320,-0.95,1.0859999999999999e-06
1494674591330,-0.95,3.6200000000000004e-07
1494674591340,-0.95,7.240000000000001e-07
1494674591350,-0.95,0.0
1494674591360,-0.95,1.0859999999999999e-06
1494674591370,-0.95,7.240000000000001e-07
1494674591380,-0.95,1.0859999999999999e-06
1494674591390,-0.95,1.0859999999999999e-06
1494674591400,-0.95,1.0859999999999999e-06
1494674591410,-0.95,1.81e-06
1494674591420,-0.95,2.5340000000000002e-06
1494674591430,-0.95,1.4480000000000002e-06
1494674591440,-0.95,1.0859999999999999e-06
1494674591450,-0.95,1.4480000000000002e-06
1494674591460,-0.95,1.0859999999999999e-06
1494674591470,-0.95,2.1719999999999997e-06
1494674591480,-0.95,5.0680000000000004e-06
1494674591490,-0.95,2.5340000000000002e-06
1494674591500,-0.95,2.5340000000000002e-06
1494674591510,-0.95,1.0859999999999999e-06
1494674591520,-0.95,1.4480000000000002e-06
1494674591530,-0.95,2.1719999999999997e-06
1494674591540,-0.95,2.5340000000000002e-06
1494674591550,-0.95,2.5340000000000002e-06
1494674591560,-0.95,1.81e-06
1494674591570,-0.95,1.81e-06
1494674591580,-0.95,1.0859999999999999e-06
1494674591590,-0.95,1.4480000000000002e-06
1494674591600,-0.95,1.0859999999999999e-06
1494674591610,-0.95,1.4480000000000002e-06
1494674591620,-0.95,9.05e-06
1494674591630,-0.95,9.774e-06
1494674591640,-0.95,2.1358e-05
1494674591650,-0.95,2.896e-05
1494674591660,-0.95,2.9321999999999998e-05
1494674591670,-0.95,2.2805999999999998e-05
1494674591680,-0.95,1.448e-05
1494674591690,-0.95,1.1222e-05
1494674591700,-0.95,9.774e-06
1494674591710,-0.95,1.1584000000000001e-05
1494674591720,-0.95,1.1945999999999999e-05
1494674591730,-0.95,1.7375999999999998e-05
1494674591740,-0.95,1.1222e-05
1494674591750,-0.95,9.774e-06
1494674591760,-0.95,3.982e-06
1494674591770,-0.95,1.81e-06
1494674591780,-0.95,7.240000000000001e-07
1494674591790,-0.95,1.4480000000000002e-06
1494674591800,-0.95,1.81e-06
1494674591810,-0.95,1.81e-06
1494674591820,-0.95,3.258e-06
1494674591830,-0.95,3.62e-06
1494674591840,-0.95,4.343999999999999e-06
1494674591850,-0.95,2.5340000000000002e-06
1494674591860,-0.95,1.4480000000000002e-06
1494674591870,-0.95,7.240000000000001e-07
1494674591880,-0.95,1.4480000000000002e-06
1494674591890,-0.95,1.0859999999999999e-06
1494674591900,-0.95,1.4480000000000002e-06
1494674591910,-0.95,2.5340000000000002e-06
1494674591920,-0.95,2.5340000000000002e-06
1494674591930,-0.95,2.1719999999999997e-06
1494674591940,-0.95,2.5340000000000002e-06
1494674591950,-0.95,2.1719999999999997e-06
1494674591960,-0.95,1.81e-06
1494674591970,-0.95,1.81e-06
1494674591980,-0.95,2.1719999999999997e-06
1494674591990,-0.95,3.258e-06
1494674592000,-0.95,1.81e-06
1494674592010,-0.95,2.1719999999999997e-06
1494674592020,-0.95,1.0859999999999999e-06
1494674592030,-0.95,1.0859999999999999e-06
1494674592040,-0.95,1.0859999999999999e-06
1494674592050,-0.95,1.0859999999999999e-06
1494674592060,-0.95,1.0859999999999999e-06
1494674592070,-0.95,1.0859999999999999e-06
1494674592080,-0.95,1.81e-06
1494674592090,-0.95,2.1719999999999997e-06
1494674592100,-0.95,2.8960000000000003e-06
1494674592110,-0.95,1.81e-06
1494674592120,-0.95,2.1719999999999997e-06
1494674592130,-0.95,1.0859999999999999e-06
1494674592140,-0.95,1.0859999999999999e-06
1494674592150,-0.95,1.81e-06
1494674592160,-0.95,1.4480000000000002e-06
1494674592170,-0.95,2.5340000000000002e-06
1494674592180,-0.95,2.1719999999999997e-06
1494674592190,-0.95,3.258e-06
1494674592200,-0.95,1.4480000000000002e-06
1494674592210,-0.95,7.240000000000001e-07
1494674592220,-0.95,1.4480000000000002e-06
1494674592230,-0.95,7.240000000000001e-07
1494674592240,-0.95,3.6200000000000004e-07
1494674592250,-0.95,1.4480000000000002e-06
1494674592260,-0.95,1.0859999999999999e-06
1494674592270,-0.95,3.6200000000000004e-07
1494674592280,-0.95,2.1719999999999997e-06
1494674592290,-0.95,1.0859999999999999e-06
1494674592300,-0.95,2.1719999999999997e-06
1494674592310,-0.95,1.4480000000000002e-06
1494674592320,-0.95,7.240000000000001e-07
1494674592330,-0.95,7.240000000000001e-07
1494674592340,-0.95,3.258e-06
1494674592350,-0.95,6.154e-06
1494674592360,-0.95,1.086e-05
1494674592370,-0.95,5.43e-06
1494674592380,-0.95,5.0680000000000004e-06
1494674592390,-0.95,3.62e-06
1494674592400,-0.95,2.1719999999999997e-06
1494674592410,-0.95,1.0859999999999999e-06
1494674592420,-0.95,1.4480000000000002e-06
1494674592430,-0.95,7.240000000000001e-07
1494674592440,-0.95,1.0859999999999999e-06
1494674592450,-0.95,1.81e-06
1494674592460,-0.95,7.240000000000001e-07
1494674592470,-0.95,1.0859999999999999e-06
1494674592480,-0.95,7.240000000000001e-07
1494674592490,-0.95,7.240000000000001e-07
1494674592500,-0.95,0.0
1494674592510,-0.95,3.6200000000000004e-07
1494674592520,-0.95,7.240000000000001e-07
1494674592530,-0.95,7.240000000000001e-07
1494674592540,-0.95,1.4480000000000002e-06
1494674592550,-0.95,2.5340000000000002e-06
1494674592560,-0.95,7.24e-06
1494674592570,-0.95,3.62e-06
1494674592580,-0.95,2.5340000000000002e-06
1494674592590,-0.95,7.240000000000001e-07
1494674592600,-0.95,7.240000000000001e-07
1494674592610,-0.95,1.4480000000000002e-06
1494674592620,-0.95,1.0859999999999999e-06
1494674592630,-0.95,1.0859999999999999e-06
1494674592640,-0.95,1.0859999999999999e-06
1494674592650,-0.95,7.240000000000001e-07
1494674592660,-0.95,1.81e-06
1494674592670,-0.95,1.4480000000000002e-06
1494674592680,-0.95,1.4480000000000002e-06
1494674592690,-0.95,7.240000000000001e-07
1494674592700,-0.95,1.0859999999999999e-06
1494674592710,-0.95,3.6200000000000004e-07
1494674592720,-0.95,7.240000000000001e-07
1494674592730,-0.95,1.81e-06
1494674592740,-0.95,1.81e-06
1494674592750,-0.95,1.81e-06
1494674592760,-0.95,1.4480000000000002e-06
1494674592770,-0.95,1.81e-06
1494674592780,-0.95,2.1719999999999997e-06
1494674592790,-0.95,1.81e-06
1494674592800,-0.95,1.0859999999999999e-06
1494674592810,-0.95,1.4480000000000002e-06
1494674592820,-0.95,2.8960000000000003e-06
1494674592830,-0.95,2.8960000000000003e-06
1494674592840,-0.95,1.81e-06
1494674592850,-0.95,3.6200000000000004e-07
1494674592860,-0.95,1.0859999999999999e-06
1494674592870,-0.95,7.240000000000001e-07
1494674592880,-0.95,7.240000000000001e-07
1494674592890,-0.95,7.240000000000001e-07
1494674592900,-0.95,1.0859999999999999e-06
1494674592910,-0.95,0.0
1494674592920,-0.95,1.0859999999999999e-06
1494674592930,-0.95,1.0859999999999999e-06
1494674592940,-0.95,7.240000000000001e-07
1494674592950,-0.95,1.81e-06
1494674592960,-0.95,3.6200000000000004e-07
1494674592970,-0.95,3.6200000000000004e-07
1494674592980,-0.95,1.4480000000000002e-06
1494674592990,-0.95,1.4480000000000002e-06
1494674593000,-0.95,3.62e-06
1494674593010,-0.95,2.1719999999999997e-06
1494674593020,-0.95,3.62e-06
1494674593030,-0.95,2.5340000000000002e-06
1494674593040,-0.95,2.5340000000000002e-06
1494674593050,-0.95,1.4480000000000002e-06
1494674593060,-0.95,2.1719999999999997e-06
1494674593070,-0.95,3.6200000000000004e-07
1494674593080,-0.95,1.4480000000000002e-06
1494674593090,-0.95,7.240000000000001e-07
1494674593100,-0.95,7.240000000000001e-07
1494674593110,-0.95,1.0859999999999999e-06
1494674593120,-0.95,7.240000000000001e-07
1494674593130,-0.95,0.0
1494674593140,-0.95,3.6200000000000004e-07
1494674593150,-0.95,1.0859999999999999e-06
1494674593160,-0.95,1.4480000000000002e-06
1494674593170,-0.95,7.240000000000001e-07
1494674593180,-0.95,2.1719999999999997e-06
1494674593190,-0.95,7.240000000000001e-07
1494674593200,-0.95,1.0859999999999999e-06
1494674593210,-0.95,1.4480000000000002e-06
1494674593220,-0.95,1.81e-06
1494674593230,-0.95,0.0
1494674593240,-0.95,1.4480000000000002e-06
1494674593250,-0.95,7.240000000000001e-07
1494674593260,-0.95,1.81e-06
1494674593270,-0.95,1.0859999999999999e-06
1494674593280,-0.95,7.240000000000001e-07
1494674593290,-0.95,7.240000000000001e-07
1494674593300,-0.95,1.4480000000000002e-06
1494674593310,-0.95,3.6200000000000004e-07
1494674593320,-0.95,7.240000000000001e-07
1494674593330,-0.95,7.240000000000001e-07
1494674593340,-0.95,1.0859999999999999e-06
1494674593350,-0.95,7.240000000000001e-07
1494674593360,-0.95,1.0859999999999999e-06
1494674593370,-0.95,7.240000000000001e-07
1494674593380,-0.95,1.0859999999999999e-06
1494674593390,-0.95,7.240000000000001e-07
1494674593400,-0.95,1.0859999999999999e-06
1494674593410,-0.95,3.6200000000000004e-07
1494674593420,-0.95,1.0859999999999999e-06
1494674593430,-0.95,3.6200000000000004e-07
1494674593440,-0.95,1.0859999999999999e-06
1494674593450,-0.95,1.0859999999999999e-06
1494674593460,-0.95,1.0859999999999999e-06
1494674593470,-0.95,1.4480000000000002e-06
1494674593480,-0.95,2.1719999999999997e-06
1494674593490,-0.95,1.0859999999999999e-06
1494674593500,-0.95,7.240000000000001e-07
1494674593510,-0.95,7.240000000000001e-07
1494674593520,-0.95,7.240000000000001e-07
1494674593530,-0.95,3.6200000000000004e-07
1494674593540,-0.95,1.4480000000000002e-06
1494674593550,-0.95,3.6200000000000004e-07
1494674593560,-0.95,1.0859999999999999e-06
1494674593570,-0.95,3.6200000000000004e-07
1494674593580,-0.95,1.4480000000000002e-06
1494674593590,-0.95,1.0859999999999999e-06
1494674593600,-0.95,1.0859999999999999e-06
1494674593610,-0.95,1.0859999999999999e-06
1494674593620,-0.95,1.0859999999999999e-06
1494674593630,-0.95,0.0
1494674593640,-0.95,7.240000000000001e-07
1494674593650,-0.95,7.240000000000001e-07
1494674593660,-0.95,2.1719999999999997e-06
1494674593670,-0.95,7.240000000000001e-07
1494674593680,-0.95,1.0859999999999999e-06
1494674593690,-0.95,7.240000000000001e-07
1494674593700,-0.95,7.240000000000001e-07
1494674593710,-0.95,7.240000000000001e-07
1494674593720,-0.95,7.240000000000001e-07
1494674593730,-0.95,7.240000000000001e-07
1494674593740,-0.95,3.6200000000000004e-07
1494674593750,-0.95,1.0859999999999999e-06
1494674593760,-0.95,1.4480000000000002e-06
1494674593770,-0.95,7.240000000000001e-07
1494674593780,-0.95,3.6200000000000004e-07
1494674593790,-0.95,3.6200000000000004e-07
1494674593800,-0.95,1.0859999999999999e-06
1494674593810,-0.95,1.0859999999999999e-06
1494674593820,-0.95,7.240000000000001e-07
1494674593830,-0.95,1.0859999999999999e-06
1494674593840,-0.95,7.240000000000001e-07
1494674593850,-0.95,1.0859999999999999e-06
1494674593860,-0.95,7.240000000000001e-07
1494674593870,-0.95,3.6200000000000004e-07
1494674593880,-0.95,2.1719999999999997e-06
1494674593890,-0.95,1.4480000000000002e-06
1494674593900,-0.95,3.6200000000000004e-07
1494674593910,-0.95,1.0859999999999999e-06
1494674593920,-0.95,2.1719999999999997e-06
1494674593930,-0.95,1.0859999999999999e-06
1494674593940,-0.95,1.0859999999999999e-06
1494674593950,-0.95,0.0
1494674593960,-0.95,7.240000000000001e-07
1494674593970,-0.95,1.0859999999999999e-06
1494674593980,-0.95,3.6200000000000004e-07
1494674593990,-0.95,3.6200000000000004e-07
1494674594000,-0.95,1.0859999999999999e-06
1494674594010,-0.95,1.0859999999999999e-06
1494674594020,-0.95,1.0859999999999999e-06
1494674594030,-0.95,1.0859999999999999e-06
1494674594040,-0.95,1.0859999999999999e-06
1494674594050,-0.95,7.240000000000001e-07
1494674594060,-0.95,7.240000000000001e-07
1494674594070,-0.95,7.240000000000001e-07
1494674594080,-0.95,3.6200000000000004e-07
1494674594090,-0.95,7.240000000000001e-07
1494674594100,-0.95,1.4480000000000002e-06
1494674594110,-0.95,7.240000000000001e-07
1494674594120,-0.95,2.1719999999999997e-06
1494674594130,-0.95,1.0859999999999999e-06
1494674594140,-0.95,1.0859999999999999e-06
1494674594150,-0.95,1.0859999999999999e-06
1494674594160,-0.95,1.0859999999999999e-06
1494674594170,-0.95,3.6200000000000004e-07
1494674594180,-0.95,7.240000000000001e-07
1494674594190,-0.95,7.240000000000001e-07
1494674594200,-0.95,1.0859999999999999e-06
1494674594210,-0.95,7.240000000000001e-07
1494674594220,-0.95,1.0859999999999999e-06
1494674594230,-0.95,1.0859999999999999e-06
1494674594240,-0.95,7.240000000000001e-07
1494674594250,-0.95,7.240000000000001e-07
1494674594260,-0.95,0.0
1494674594270,-0.95,3.6200000000000004e-07
1494674594280,-0.95,1.0859999999999999e-06
1494674594290,-0.95,1.0859999999999999e-06
1494674594300,-0.95,1.0859999999999999e-06
1494674594310,-0.95,7.240000000000001e-07
1494674594320,-0.95,7.240000000000001e-07
1494674594330,-0.95,7.240000000000001e-07
1494674594340,-0.95,3.6200000000000004e-07
1494674594350,-0.95,3.6200000000000004e-07
1494674594360,-0.95,1.4480000000000002e-06
1494674594370,-0.95,3.6200000000000004e-07
1494674594380,-0.95,1.0859999999999999e-06
1494674594390,-0.95,2.1719999999999997e-06
1494674594400,-0.95,3.258e-06
1494674594410,-0.95,3.6200000000000004e-07
1494674594420,-0.95,1.0859999999999999e-06
1494674594430,-0.95,7.240000000000001e-07
1494674594440,-0.95,7.240000000000001e-07
1494674594450,-0.95,3.6200000000000004e-07
1494674594460,-0.95,1.4480000000000002e-06
1494674594470,-0.95,7.240000000000001e-07
1494674594480,-0.95,2.1719999999999997e-06
1494674594490,-0.95,1.0859999999999999e-06
1494674594500,-0.95,1.4480000000000002e-06
1494674594510,-0.95,1.0859999999999999e-06
1494674594520,-0.95,1.4480000000000002e-06
1494674594530,-0.95,3.6200000000000004e-07
1494674594540,-0.95,1.4480000000000002e-06
1494674594550,-0.95,1.0859999999999999e-06
1494674594560,-0.95,1.0859999999999999e-06
1494674594570,-0.95,1.4480000000000002e-06
1494674594580,-0.95,1.4480000000000002e-06
1494674594590,-0.95,0.0
1494674594600,-0.95,2.1719999999999997e-06
1494674594610,-0.95,0.0
1494674594620,-0.95,1.0859999999999999e-06
1494674594630,-0.95,1.0859999999999999e-06
1494674594640,-0.95,7.240000000000001e-07
1494674594650,-0.95,1.0859999999999999e-06
1494674594660,-0.95,1.0859999999999999e-06
1494674594670,-0.95,7.240000000000001e-07
1494674594680,-0.95,1.81e-06
1494674594690,-0.95,7.240000000000001e-07
1494674594700,-0.95,7.240000000000001e-07
1494674594710,-0.95,3.6200000000000004e-07
1494674594720,-0.95,3.6200000000000004e-07
1494674594730,-0.95,1.0859999999999999e-06
1494674594740,-0.95,1.4480000000000002e-06
1494674594750,-0.95,3.6200000000000004e-07
1494674594760,-0.95,3.6200000000000004e-07
1494674594770,-0.95,1.0859999999999999e-06
1494674594780,-0.95,1.4480000000000002e-06
1494674594790,-0.95,7.240000000000001e-07
1494674594800,-0.95,7.240000000000001e-07
1494674594810,-0.95,3.6200000000000004e-07
1494674594820,-0.95,1.0859999999999999e-06
1494674594830,-0.95,1.0859999999999999e-06
1494674594840,-0.95,7.240000000000001e-07
1494674594850,-0.95,1.4480000000000002e-06
1494674594860,-0.95,7.240000000000001e-07
1494674594870,-0.95,3.6200000000000004e-07
1494674594880,-0.95,1.0859999999999999e-06
1494674594890,-0.95,3.6200000000000004e-07
1494674594900,-0.95,1.0859999999999999e-06
1494674594910,-0.95,3.6200000000000004e-07
1494674594920,-0.95,1.4480000000000002e-06
1494674594930,-0.95,1.0859999999999999e-06
1494674594940,-0.95,2.1719999999999997e-06
1494674594950,-0.95,3.6200000000000004e-07
1494674594960,-0.95,1.0859999999999999e-06
1494674594970,-0.95,3.6200000000000004e-07
1494674594980,-0.95,7.240000000000001e-07
1494674594990,-0.95,7.240000000000001e-07
1494674595000,-0.95,7.240000000000001e-07
1494674595010,-0.95,7.240000000000001e-07
1494674595020,-0.95,1.0859999999999999e-06
1494674595030,-0.95,0.0
1494674595040,-0.95,7.240000000000001e-07
1494674595050,-0.95,3.6200000000000004e-07
1494674595060,-0.95,1.4480000000000002e-06
1494674595070,-0.95,7.240000000000001e-07
1494674595080,-0.95,7.240000000000001e-07
1494674595090,-0.95,7.240000000000001e-07
1494674595100,-0.95,1.4480000000000002e-06
1494674595110,-0.95,7.240000000000001e-07
1494674595120,-0.95,7.240000000000001e-07
1494674595130,-0.95,3.6200000000000004e-07
1494674595140,-0.95,3.6200000000000004e-07
1494674595150,-0.95,7.240000000000001e-07
1494674595160,-0.95,7.240000000000001e-07
1494674595170,-0.95,7.240000000000001e-07
1494674595180,-0.95,7.240000000000001e-07
1494674595190,-0.95,3.6200000000000004e-07
1494674595200,-0.95,1.0859999999999999e-06
1494674595210,-0.95,7.240000000000001e-07
1494674595220,-0.95,1.0859999999999999e-06
1494674595230,-0.95,3.6200000000000004e-07
1494674595240,-0.95,7.240000000000001e-07
1494674595250,-0.95,7.240000000000001e-07
1494674595260,-0.95,1.4480000000000002e-06
1494674595270,-0.95,3.6200000000000004e-07
1494674595280,-0.95,1.4480000000000002e-06
1494674595290,-0.95,3.6200000000000004e-07
1494674595300,-0.95,1.4480000000000002e-06
1494674595310,-0.95,3.6200000000000004e-07
1494674595320,-0.95,1.0859999999999999e-06
1494674595330,-0.95,7.240000000000001e-07
1494674595340,-0.95,3.6200000000000004e-07
1494674595350,-0.95,7.240000000000001e-07
1494674595360,-0.95,7.240000000000001e-07
1494674595370,-0.95,3.6200000000000004e-07
1494674595380,-0.95,7.240000000000001e-07
1494674595390,-0.95,3.6200000000000004e-07
1494674595400,-0.95,1.0859999999999999e-06
1494674595410,-0.95,0.0
1494674595420,-0.95,7.240000000000001e-07
1494674595430,-0.95,7.240000000000001e-07
1494674595440,-0.95,3.6200000000000004e-07
1494674595450,-0.95,1.0859999999999999e-06
1494674595460,-0.95,7.240000000000001e-07
1494674595470,-0.95,1.0859999999999999e-06
1494674595480,-0.95,1.0859999999999999e-06
1494674595490,-0.95,3.6200000000000004e-07
1494674595500,-0.95,1.81e-06
1494674595510,-0.95,3.6200000000000004e-07
1494674595520,-0.95,7.240000000000001e-07
1494674595530,-0.95,3.6200000000000004e-07
1494674595540,-0.95,7.240000000000001e-07
1494674595550,-0.95,3.6200000000000004e-07
1494674595560,-0.95,1.0859999999999999e-06
1494674595570,-0.95,1.0859999999999999e-06
1494674595580,-0.95,7.240000000000001e-07
1494674595590,-0.95,3.6200000000000004e-07
1494674595600,-0.95,1.4480000000000002e-06
1494674595610,-0.95,0.0
1494674595620,-0.95,1.0859999999999999e-06
1494674595630,-0.95,3.6200000000000004e-07
