Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494677049160,-1.59,2.8960000000000003e-06
1494677049170,-1.59,5.792000000000001e-06
1494677049180,-1.59,3.258e-06
1494677049190,-1.59,5.43e-06
1494677049200,-1.59,1.4480000000000002e-06
1494677049210,-1.59,6.154e-06
1494677049220,-1.59,3.62e-06
1494677049230,-1.59,6.516e-06
1494677049240,-1.59,3.982e-06
1494677049250,-1.59,6.516e-06
1494677049260,-1.59,3.258e-06
1494677049270,-1.59,6.877999999999999e-06
1494677049280,-1.59,4.343999999999999e-06
1494677049290,-1.59,7.24e-06
1494677049300,-1.59,4.706e-06
1494677049310,-1.59,1.0498e-05
1494677049320,-1.59,9.412e-06
1494677049330,-1.59,1.1584000000000001e-05
1494677049340,-1.59,1.1945999999999999e-05
1494677049350,-1.59,1.5566e-05
1494677049360,-1.59,1.4118e-05
1494677049370,-1.59,1.991e-05
1494677049380,-1.59,1.8462e-05
1494677049390,-1.59,2.0634e-05
1494677049400,-1.59,2.172e-05
1494677049410,-1.59,2.2444e-05
1494677049420,-1.59,1.8824e-05
1494677049430,-1.59,1.7738e-05
1494677049440,-1.59,1.7014e-05
1494677049450,-1.59,2.534e-05
1494677049460,-1.59,2.4616e-05
1494677049470,-1.59,2.7874e-05
1494677049480,-1.59,2.6426e-05
1494677049490,-1.59,2.1358e-05
1494677049500,-1.59,1.991e-05
1494677049510,-1.59,2.0272000000000002e-05
1494677049520,-1.59,1.9186e-05
1494677049530,-1.59,2.1358e-05
1494677049540,-1.59,2.2082e-05
1494677049550,-1.59,2.3168000000000002e-05
1494677049560,-1.59,2.0272000000000002e-05
1494677049570,-1.59,1.991e-05
1494677049580,-1.59,1.8824e-05
1494677049590,-1.59,2.2805999999999998e-05
1494677049600,-1.59,1.9186e-05
1494677049610,-1.59,2.172e-05
1494677049620,-1.59,1.8824e-05
1494677049630,-1.59,2.1358e-05
1494677049640,-1.59,2.0272000000000002e-05
1494677049650,-1.59,2.3891999999999998e-05
1494677049660,-1.59,2.1358e-05
1494677049670,-1.59,2.2444e-05
1494677049680,-1.59,1.5928e-05
1494677049690,-1.59,1.9186e-05
1494677049700,-1.59,1.5566e-05
1494677049710,-1.59,2.6064e-05
1494677049720,-1.59,2.4254000000000002e-05
1494677049730,-1.59,2.8236e-05
1494677049740,-1.59,2.172e-05
1494677049750,-1.59,1.991e-05
1494677049760,-1.59,1.629e-05
1494677049770,-1.59,2.172e-05
1494677049780,-1.59,1.991e-05
1494677049790,-1.59,2.2805999999999998e-05
1494677049800,-1.59,2.2444e-05
1494677049810,-1.59,2.2805999999999998e-05
1494677049820,-1.59,1.8462e-05
1494677049830,-1.59,1.9186e-05
1494677049840,-1.59,1.4842000000000001e-05
1494677049850,-1.59,1.7375999999999998e-05
1494677049860,-1.59,1.6652e-05
1494677049870,-1.59,2.0634e-05
1494677049880,-1.59,1.629e-05
1494677049890,-1.59,1.991e-05
