,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,collimator_type,beam_type,beam_state
514,0,5.246872340425531,4.463968525764925,8.325999999999999,3.524635079723856,0.056186985972013825,3.8469524865138993,TCSP,PROTON,I
515,1,182.83460194174756,1.7221579475922668,210.86499999999998,179.30679285134661,0.7188250830693264,29.72429153103105,TCP,PROTON,I
516,1,75.17350505050507,2.109716601029876,114.39200000000001,51.6354371131757,0.1564099007153524,57.95147061953643,TCSP,PROTON,I
517,0,9.6091375,3.046188585215573,10.498,8.452867327390038,0.17963188905166805,1.214086674772241,TCP,PROTON,I
518,0,15.072363636363633,4.066131335328418,19.548,13.10133123289185,0.1717385579567716,5.671260074981981,TCTPV,PROTON,I
519,0,1021.4783655913978,0.4360497760937958,1122.2,911.1690226114455,0.23163532940767814,161.29459047610462,TCSG,PROTON,I
520,0,73.94755,2.6874912643671456,107.876,80.04095960957414,1.2513097499089367,28.450736408987243,TCSP,PROTON,I
521,1,14.7500101010101,1.9763289513394826,16.833,13.92501922321197,0.503026051606218,2.3309584263402465,TCTPV,PROTON,I
522,0,126.43588775510204,3.044870443634209,142.62800000000001,100.80699989843878,0.17307241909131726,18.164516636134152,TCTPV,PROTON,I
523,0,37.1480099009901,4.517683033781614,44.888,35.829985604407945,0.5131827187660666,7.660418896204784,TCP,PROTON,I
524,1,9.93702564102564,2.275354278568389,10.498,9.146751590973906,0.36463550586494214,0.7754965905931467,TCP,PROTON,I
525,0,508.0296804123711,4.284899295171264,535.579,432.94271688266684,0.2165312513983029,52.405603321506995,TCTPH,PROTON,I
526,1,9.592504950495048,1.4282997651289393,12.850999999999999,7.018041224874903,0.31550836760653095,4.0712748924487325,TCTPH,PROTON,I
527,1,7.307244897959183,2.313019397538611,9.231,7.4912935227275375,1.3190912977327804,1.7048959837483781,TCSG,PROTON,I
528,0,15.443558823529413,2.7350687144944494,17.557000000000002,13.709686187276297,0.2145062454875048,2.4403226679827204,TCP,PROTON,I
529,1,29.3640505050505,2.30256507029502,34.751999999999995,28.70749078007753,0.5664989409439671,6.122556217240889,TCTPV,PROTON,I
530,1,216.3070666666666,2.051998946323745,333.22099999999995,259.567342589126,0.11788874375091375,106.00798573830063,TCSG,PROTON,I
531,0,260.843625,0.6216589762547082,329.782,183.33561617174618,0.06622111178641597,68.37216947383902,TCSG,PROTON,I
532,1,9.318821782178217,3.4183871574603972,9.955,7.69366962263788,0.3305906904644617,1.784637693285055,TCTPV,PROTON,I
533,0,9.318821782178217,4.600402080510327,9.955,7.69366962263788,0.3305906904644617,1.784637693285055,TCTPV,PROTON,I
534,1,5.55225925925926,3.5848438838102052,7.24,5.049840003357669,75.37771024630717,2.190159996643703,TCP,PROTON,I
535,1,6.847534653465347,3.737554743153877,14.48,5.300968581636807,0.06408602403613443,8.853948275602463,TCSP,PROTON,I
536,0,1261.059909090909,3.501076252829388,1321.3,1177.460046797606,0.12046993306711413,40.277886752711815,TCTPH,PROTON,I
537,1,7.856172413793104,2.378225981503118,9.593,4.759459157078175,0.1197725633716122,3.815572328934038,TCSP,PROTON,I
538,0,8.055340909090908,3.3332820830008023,10.679,8.386881080136398,0.6162847187618199,3.022364009557363,TCTPV,PROTON,I
539,0,9.325073170731708,3.2529050682627347,12.127,8.843453511766596,0.18295975175838064,3.4377396317670135,TCTPV,PROTON,I
540,1,5.317804878048779,4.490339983221109,8.869,4.984510938130581,0.05925886406028023,3.357073574763526,TCSP,PROTON,I
541,0,5.317804878048779,4.52869846679374,8.869,4.984510938130581,0.05925886406028023,3.357073574763526,TCSP,PROTON,I
542,1,556.6938383838383,1.7853747060448373,601.1009999999999,458.50505675212986,0.2780682195340118,62.295789498930844,TCTPH,PROTON,I
543,1,64.32121951219511,1.5233444951906867,72.76199999999999,52.168601258709785,0.2034632869999384,10.574195394149083,TCSG,PROTON,I
544,1,5.9397126436781615,4.3214465586705435,9.231,6.632638918421876,0.5287162865969688,3.2521099458659637,TCTPV,PROTON,I
545,0,1248.5424300000002,1.4627277653421038,1308.8100000000002,1178.4247422794988,0.23934262382742583,174.1609615475322,TCP,PROTON,I
546,0,18.45685,3.6311498436093843,20.634,18.00684690104341,0.6386519030821897,2.7815877368986497,TCTPV,PROTON,I
547,0,268.77403030303026,1.9011423678278114,389.15,277.81724481729174,0.02203308686945621,27.18713861864306,TCSP,PROTON,I
548,1,27.920212765957448,1.2802443016695,32.761,18.3656138697711,0.10192088218825142,6.755293976205841,TCTPH,PROTON,I
549,1,5.206082474226801,3.876604246106363,11.945999999999998,3.9762433856075563,0.02726190801932833,6.122526981124987,TCSP,PROTON,I
550,0,5.629282828282829,5.195096962466693,11.222,5.583579271423394,0.36210197727327365,5.850318781538526,TCP,PROTON,I
551,0,26.91638372093023,1.8173723838062847,28.779,18.593187964426637,0.2725784961236925,8.179319080376562,TCSG,PROTON,I
552,0,349.6203956043956,0.891337030431866,377.385,319.8089575492867,0.19278181814441425,24.399418565270203,TCSG,PROTON,I
553,0,5.918333333333333,3.460939694721398,10.498,6.31051860750714,1.0536276120648533,4.422509100527492,TCTPV,PROTON,I
554,1,63.08613253012048,1.397332542463516,74.029,62.51292148093264,0.15980343367550684,11.96593865577669,TCSG,PROTON,I
555,0,16.253341772151902,5.599980176694561,18.824,14.912860682677488,0.5622461338702063,3.4595734928083903,TCTPH,PROTON,I
556,1,3.560153061224489,2.1221161332657426,4.162999999999999,2.804484084051077,0.24777092467352746,0.7770506587313895,TCP,PROTON,I
