Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459977497080,0.605,9.05e-06
1459977497090,0.605,6.516e-06
1459977497100,0.605,9.774e-06
1459977497110,0.605,7.24e-06
1459977497120,0.605,1.1584000000000001e-05
1459977497130,0.605,9.774e-06
1459977497140,0.605,1.3032e-05
1459977497150,0.605,7.964e-06
1459977497160,0.605,1.1222e-05
1459977497170,0.605,7.24e-06
1459977497180,0.605,9.05e-06
1459977497190,0.605,8.326e-06
1459977497200,0.605,1.1222e-05
1459977497210,0.605,7.24e-06
1459977497220,0.605,9.774e-06
1459977497230,0.605,5.792000000000001e-06
1459977497240,0.605,1.086e-05
1459977497250,0.605,4.343999999999999e-06
1459977497260,0.605,9.05e-06
1459977497270,0.605,7.24e-06
1459977497280,0.605,1.0498e-05
1459977497290,0.605,9.05e-06
1459977497300,0.605,1.0136000000000001e-05
1459977497310,0.605,6.154e-06
1459977497320,0.605,9.774e-06
1459977497330,0.605,7.24e-06
1459977497340,0.605,1.0498e-05
1459977497350,0.605,6.516e-06
1459977497360,0.605,8.687999999999999e-06
1459977497370,0.605,6.154e-06
1459977497380,0.605,9.412e-06
1459977497390,0.605,5.792000000000001e-06
1459977497400,0.605,8.687999999999999e-06
1459977497410,0.605,6.516e-06
1459977497420,0.605,7.602e-06
1459977497430,0.605,5.0680000000000004e-06
1459977497440,0.605,1.1945999999999999e-05
1459977497450,0.605,7.24e-06
1459977497460,0.605,1.0498e-05
1459977497470,0.605,6.877999999999999e-06
1459977497480,0.605,1.0136000000000001e-05
1459977497490,0.605,5.792000000000001e-06
1459977497500,0.605,9.412e-06
1459977497510,0.605,4.706e-06
1459977497520,0.605,6.877999999999999e-06
1459977497530,0.605,5.0680000000000004e-06
1459977497540,0.605,8.687999999999999e-06
1459977497550,0.605,5.792000000000001e-06
1459977497560,0.605,1.0498e-05
1459977497570,0.605,5.792000000000001e-06
1459977497580,0.605,8.687999999999999e-06
1459977497590,0.605,6.516e-06
1459977497600,0.605,8.687999999999999e-06
1459977497610,0.605,6.877999999999999e-06
1459977497620,0.605,8.687999999999999e-06
1459977497630,0.605,6.877999999999999e-06
1459977497640,0.605,1.0136000000000001e-05
1459977497650,0.605,6.516e-06
1459977497660,0.605,9.774e-06
1459977497670,0.605,5.43e-06
1459977497680,0.605,8.326e-06
1459977497690,0.605,7.24e-06
1459977497699,0.605,1.0498e-05
1459977497709,0.605,6.516e-06
1459977497719,0.605,9.412e-06
1459977497729,0.605,5.43e-06
1459977497739,0.605,9.05e-06
1459977497749,0.605,6.516e-06
1459977497759,0.605,8.326e-06
1459977497769,0.605,7.964e-06
1459977497779,0.605,7.964e-06
1459977497789,0.605,4.706e-06
1459977497799,0.605,8.326e-06
1459977497809,0.605,7.602e-06
1459977497819,0.605,1.0498e-05
