Timestamp,position,BLMTI.04R2.B2E10_TCTPH.4R2.B2
1459973011230,-1.095,2.5340000000000002e-06
1459973011240,-1.095,3.258e-06
1459973011250,-1.095,3.982e-06
1459973011260,-1.095,3.62e-06
1459973011270,-1.095,2.1719999999999997e-06
1459973011280,-1.095,1.0859999999999999e-06
1459973011290,-1.095,1.0859999999999999e-06
1459973011300,-1.095,1.4480000000000002e-06
1459973011310,-1.095,2.1719999999999997e-06
1459973011320,-1.095,2.1719999999999997e-06
1459973011330,-1.095,5.792000000000001e-06
1459973011340,-1.095,6.516e-06
1459973011350,-1.095,5.792000000000001e-06
1459973011360,-1.095,3.258e-06
1459973011370,-1.095,1.81e-06
1459973011380,-1.095,1.81e-06
1459973011390,-1.095,7.240000000000001e-07
1459973011400,-1.095,2.8960000000000003e-06
1459973011410,-1.095,2.1719999999999997e-06
1459973011420,-1.095,2.5340000000000002e-06
1459973011430,-1.095,2.8960000000000003e-06
1459973011440,-1.095,2.5340000000000002e-06
1459973011450,-1.095,1.0859999999999999e-06
1459973011460,-1.095,7.240000000000001e-07
1459973011470,-1.095,7.240000000000001e-07
1459973011480,-1.095,1.0859999999999999e-06
1459973011490,-1.095,1.81e-06
1459973011500,-1.095,1.81e-06
1459973011510,-1.095,4.343999999999999e-06
1459973011520,-1.095,6.516e-06
1459973011530,-1.095,3.258e-06
1459973011540,-1.095,2.5340000000000002e-06
1459973011550,-1.095,1.4480000000000002e-06
1459973011560,-1.095,0.0
1459973011570,-1.095,7.240000000000001e-07
1459973011580,-1.095,7.240000000000001e-07
1459973011590,-1.095,3.6200000000000004e-07
1459973011600,-1.095,1.81e-06
1459973011610,-1.095,7.240000000000001e-07
1459973011620,-1.095,1.4480000000000002e-06
1459973011630,-1.095,1.0859999999999999e-06
1459973011640,-1.095,3.6200000000000004e-07
1459973011650,-1.095,1.0859999999999999e-06
1459973011660,-1.095,1.0859999999999999e-06
1459973011670,-1.095,1.4480000000000002e-06
1459973011680,-1.095,7.240000000000001e-07
1459973011690,-1.095,1.81e-06
1459973011700,-1.095,2.1719999999999997e-06
1459973011710,-1.095,2.5340000000000002e-06
1459973011720,-1.095,1.0859999999999999e-06
1459973011730,-1.095,1.0859999999999999e-06
1459973011740,-1.095,1.0859999999999999e-06
1459973011750,-1.095,7.240000000000001e-07
1459973011760,-1.095,7.240000000000001e-07
1459973011770,-1.095,7.240000000000001e-07
1459973011780,-1.095,1.4480000000000002e-06
1459973011790,-1.095,1.0859999999999999e-06
1459973011800,-1.095,3.6200000000000004e-07
1459973011810,-1.095,1.4480000000000002e-06
1459973011820,-1.095,1.4480000000000002e-06
1459973011830,-1.095,1.0859999999999999e-06
1459973011840,-1.095,1.81e-06
1459973011850,-1.095,1.0859999999999999e-06
1459973011860,-1.095,1.0859999999999999e-06
1459973011870,-1.095,7.240000000000001e-07
1459973011880,-1.095,7.240000000000001e-07
1459973011890,-1.095,1.0859999999999999e-06
1459973011900,-1.095,7.240000000000001e-07
1459973011910,-1.095,7.240000000000001e-07
1459973011920,-1.095,3.6200000000000004e-07
1459973011930,-1.095,3.6200000000000004e-07
1459973011940,-1.095,3.6200000000000004e-07
1459973011950,-1.095,7.240000000000001e-07
1459973011960,-1.095,1.0859999999999999e-06
1459973011970,-1.095,7.240000000000001e-07
1459973011980,-1.095,3.6200000000000004e-07
1459973011990,-1.095,1.0859999999999999e-06
1459973012000,-1.095,1.0859999999999999e-06
1459973012010,-1.095,3.6200000000000004e-07
1459973012020,-1.095,1.0859999999999999e-06
1459973012030,-1.095,3.6200000000000004e-07
1459973012040,-1.095,7.240000000000001e-07
1459973012050,-1.095,3.6200000000000004e-07
1459973012060,-1.095,1.0859999999999999e-06
1459973012070,-1.095,1.0859999999999999e-06
1459973012080,-1.095,1.0859999999999999e-06
1459973012090,-1.095,3.6200000000000004e-07
1459973012100,-1.095,1.0859999999999999e-06
1459973012110,-1.095,3.6200000000000004e-07
1459973012120,-1.095,7.240000000000001e-07
1459973012130,-1.095,7.240000000000001e-07
1459973012140,-1.095,3.6200000000000004e-07
1459973012150,-1.095,7.240000000000001e-07
1459973012160,-1.095,1.0859999999999999e-06
1459973012170,-1.095,1.0859999999999999e-06
1459973012180,-1.095,1.0859999999999999e-06
1459973012190,-1.095,1.0859999999999999e-06
1459973012200,-1.095,1.0859999999999999e-06
1459973012210,-1.095,7.240000000000001e-07
1459973012220,-1.095,1.4480000000000002e-06
1459973012230,-1.095,7.240000000000001e-07
1459973012240,-1.095,3.6200000000000004e-07
1459973012250,-1.095,3.6200000000000004e-07
1459973012260,-1.095,7.240000000000001e-07
1459973012270,-1.095,1.0859999999999999e-06
1459973012280,-1.095,1.0859999999999999e-06
1459973012290,-1.095,1.4480000000000002e-06
1459973012300,-1.095,0.0
1459973012310,-1.095,7.240000000000001e-07
1459973012320,-1.095,1.4480000000000002e-06
1459973012330,-1.095,7.240000000000001e-07
1459973012340,-1.095,3.6200000000000004e-07
1459973012350,-1.095,7.240000000000001e-07
1459973012360,-1.095,1.0859999999999999e-06
1459973012370,-1.095,1.0859999999999999e-06
1459973012380,-1.095,1.0859999999999999e-06
1459973012390,-1.095,0.0
1459973012400,-1.095,1.4480000000000002e-06
1459973012410,-1.095,0.0
1459973012420,-1.095,3.6200000000000004e-07
1459973012430,-1.095,1.0859999999999999e-06
1459973012440,-1.095,0.0
1459973012450,-1.095,1.4480000000000002e-06
1459973012460,-1.095,7.240000000000001e-07
1459973012470,-1.095,1.0859999999999999e-06
1459973012480,-1.095,0.0
1459973012490,-1.095,3.6200000000000004e-07
1459973012500,-1.095,7.240000000000001e-07
1459973012510,-1.095,3.6200000000000004e-07
1459973012520,-1.095,7.240000000000001e-07
1459973012530,-1.095,7.240000000000001e-07
1459973012540,-1.095,1.0859999999999999e-06
1459973012550,-1.095,0.0
1459973012560,-1.095,1.4480000000000002e-06
1459973012570,-1.095,0.0
1459973012580,-1.095,3.6200000000000004e-07
1459973012590,-1.095,7.240000000000001e-07
1459973012600,-1.095,3.6200000000000004e-07
1459973012610,-1.095,3.6200000000000004e-07
1459973012620,-1.095,3.6200000000000004e-07
1459973012630,-1.095,1.0859999999999999e-06
1459973012640,-1.095,3.6200000000000004e-07
1459973012650,-1.095,1.4480000000000002e-06
1459973012660,-1.095,0.0
1459973012670,-1.095,0.0
1459973012680,-1.095,7.240000000000001e-07
1459973012690,-1.095,0.0
1459973012700,-1.095,3.6200000000000004e-07
1459973012710,-1.095,3.6200000000000004e-07
1459973012720,-1.095,1.4480000000000002e-06
1459973012730,-1.095,7.240000000000001e-07
1459973012740,-1.095,0.0
1459973012750,-1.095,3.6200000000000004e-07
1459973012760,-1.095,7.240000000000001e-07
1459973012770,-1.095,1.4480000000000002e-06
1459973012780,-1.095,0.0
1459973012790,-1.095,1.0859999999999999e-06
1459973012800,-1.095,1.0859999999999999e-06
1459973012810,-1.095,2.5340000000000002e-06
1459973012820,-1.095,0.0
1459973012830,-1.095,1.0859999999999999e-06
1459973012840,-1.095,0.0
1459973012850,-1.095,3.6200000000000004e-07
1459973012860,-1.095,7.240000000000001e-07
1459973012870,-1.095,3.6200000000000004e-07
1459973012880,-1.095,1.0859999999999999e-06
1459973012890,-1.095,2.8960000000000003e-06
1459973012900,-1.095,1.4480000000000002e-06
1459973012910,-1.095,7.240000000000001e-07
1459973012920,-1.095,1.4480000000000002e-06
1459973012930,-1.095,7.240000000000001e-07
1459973012940,-1.095,1.4480000000000002e-06
1459973012950,-1.095,3.6200000000000004e-07
1459973012960,-1.095,1.0859999999999999e-06
1459973012970,-1.095,1.0859999999999999e-06
1459973012980,-1.095,1.4480000000000002e-06
1459973012990,-1.095,1.0859999999999999e-06
1459973013000,-1.095,7.240000000000001e-07
1459973013010,-1.095,0.0
1459973013020,-1.095,1.0859999999999999e-06
1459973013030,-1.095,3.6200000000000004e-07
1459973013040,-1.095,7.240000000000001e-07
1459973013050,-1.095,1.0859999999999999e-06
1459973013060,-1.095,1.0859999999999999e-06
1459973013070,-1.095,2.5340000000000002e-06
1459973013080,-1.095,1.4480000000000002e-06
1459973013090,-1.095,1.0859999999999999e-06
1459973013100,-1.095,1.4480000000000002e-06
1459973013110,-1.095,3.6200000000000004e-07
1459973013120,-1.095,7.240000000000001e-07
1459973013130,-1.095,1.4480000000000002e-06
1459973013140,-1.095,1.4480000000000002e-06
1459973013150,-1.095,7.240000000000001e-07
1459973013160,-1.095,1.4480000000000002e-06
1459973013170,-1.095,1.0859999999999999e-06
1459973013180,-1.095,7.240000000000001e-07
1459973013190,-1.095,3.6200000000000004e-07
1459973013200,-1.095,7.240000000000001e-07
1459973013210,-1.095,0.0
1459973013220,-1.095,7.240000000000001e-07
1459973013230,-1.095,1.81e-06
1459973013240,-1.095,3.982e-06
1459973013250,-1.095,3.982e-06
1459973013260,-1.095,2.5340000000000002e-06
1459973013270,-1.095,1.4480000000000002e-06
1459973013280,-1.095,1.0859999999999999e-06
1459973013290,-1.095,3.6200000000000004e-07
1459973013300,-1.095,1.4480000000000002e-06
1459973013310,-1.095,7.240000000000001e-07
1459973013320,-1.095,1.0859999999999999e-06
1459973013330,-1.095,1.0859999999999999e-06
1459973013340,-1.095,1.4480000000000002e-06
1459973013350,-1.095,1.0859999999999999e-06
1459973013360,-1.095,3.6200000000000004e-07
1459973013370,-1.095,3.6200000000000004e-07
1459973013380,-1.095,7.240000000000001e-07
1459973013390,-1.095,7.240000000000001e-07
1459973013400,-1.095,7.240000000000001e-07
1459973013410,-1.095,3.258e-06
1459973013420,-1.095,1.81e-06
1459973013430,-1.095,7.240000000000001e-07
1459973013440,-1.095,1.0859999999999999e-06
1459973013450,-1.095,1.0859999999999999e-06
1459973013460,-1.095,3.6200000000000004e-07
1459973013470,-1.095,7.240000000000001e-07
1459973013480,-1.095,3.6200000000000004e-07
1459973013490,-1.095,3.6200000000000004e-07
1459973013500,-1.095,7.240000000000001e-07
1459973013510,-1.095,7.240000000000001e-07
1459973013520,-1.095,1.4480000000000002e-06
1459973013530,-1.095,3.6200000000000004e-07
1459973013540,-1.095,3.6200000000000004e-07
1459973013550,-1.095,1.0859999999999999e-06
1459973013560,-1.095,3.6200000000000004e-07
1459973013570,-1.095,7.240000000000001e-07
1459973013580,-1.095,1.81e-06
1459973013590,-1.095,3.6200000000000004e-07
1459973013600,-1.095,1.0859999999999999e-06
1459973013610,-1.095,7.240000000000001e-07
1459973013620,-1.095,3.6200000000000004e-07
1459973013630,-1.095,3.6200000000000004e-07
1459973013640,-1.095,7.240000000000001e-07
1459973013650,-1.095,3.6200000000000004e-07
1459973013660,-1.095,3.6200000000000004e-07
1459973013670,-1.095,7.240000000000001e-07
1459973013680,-1.095,1.81e-06
1459973013690,-1.095,7.240000000000001e-07
