Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459975898850,1.13,1.2308e-05
1459975898860,1.13,8.326e-06
1459975898870,1.13,1.2308e-05
1459975898880,1.13,1.1945999999999999e-05
1459975898890,1.13,1.5566e-05
1459975898900,1.13,1.5928e-05
1459975898910,1.13,1.1945999999999999e-05
1459975898920,1.13,1.086e-05
1459975898930,1.13,1.0136000000000001e-05
1459975898940,1.13,9.774e-06
1459975898950,1.13,1.0136000000000001e-05
1459975898960,1.13,1.3755999999999998e-05
1459975898970,1.13,1.4842000000000001e-05
1459975898980,1.13,2.0272000000000002e-05
1459975898990,1.13,1.448e-05
1459975899000,1.13,1.3394000000000001e-05
1459975899010,1.13,1.1222e-05
1459975899020,1.13,9.412e-06
1459975899030,1.13,9.412e-06
1459975899040,1.13,1.1584000000000001e-05
1459975899050,1.13,8.687999999999999e-06
1459975899060,1.13,1.4842000000000001e-05
1459975899070,1.13,1.4842000000000001e-05
1459975899080,1.13,1.7375999999999998e-05
1459975899090,1.13,1.5204e-05
1459975899100,1.13,1.2308e-05
1459975899110,1.13,1.0498e-05
1459975899120,1.13,9.774e-06
1459975899130,1.13,1.1945999999999999e-05
1459975899140,1.13,1.1584000000000001e-05
1459975899150,1.13,1.086e-05
1459975899160,1.13,1.1222e-05
1459975899170,1.13,1.3394000000000001e-05
1459975899180,1.13,1.3394000000000001e-05
1459975899190,1.13,1.1945999999999999e-05
1459975899200,1.13,1.3394000000000001e-05
1459975899210,1.13,1.4118e-05
1459975899220,1.13,1.6652e-05
1459975899230,1.13,1.5566e-05
1459975899240,1.13,1.267e-05
1459975899250,1.13,1.1584000000000001e-05
1459975899260,1.13,1.3755999999999998e-05
1459975899270,1.13,1.267e-05
1459975899280,1.13,1.267e-05
1459975899290,1.13,1.086e-05
1459975899300,1.13,1.0498e-05
1459975899310,1.13,8.687999999999999e-06
1459975899320,1.13,8.687999999999999e-06
1459975899330,1.13,9.774e-06
1459975899340,1.13,1.086e-05
1459975899350,1.13,1.0136000000000001e-05
1459975899360,1.13,1.4118e-05
1459975899370,1.13,1.0136000000000001e-05
1459975899380,1.13,1.7375999999999998e-05
1459975899390,1.13,1.3755999999999998e-05
1459975899400,1.13,1.3394000000000001e-05
1459975899410,1.13,1.1222e-05
1459975899420,1.13,1.086e-05
1459975899430,1.13,8.326e-06
1459975899440,1.13,9.05e-06
1459975899450,1.13,9.412e-06
1459975899460,1.13,1.5204e-05
1459975899470,1.13,1.5566e-05
1459975899480,1.13,1.6652e-05
1459975899490,1.13,1.3755999999999998e-05
1459975899500,1.13,1.1945999999999999e-05
1459975899510,1.13,9.05e-06
1459975899520,1.13,6.877999999999999e-06
1459975899530,1.13,8.326e-06
1459975899540,1.13,9.412e-06
1459975899550,1.13,1.2308e-05
1459975899560,1.13,1.6652e-05
1459975899570,1.13,1.629e-05
1459975899580,1.13,1.3755999999999998e-05
1459975899590,1.13,1.0136000000000001e-05
1459975899600,1.13,6.154e-06
1459975899610,1.13,6.877999999999999e-06
1459975899620,1.13,6.877999999999999e-06
1459975899630,1.13,9.774e-06
1459975899640,1.13,1.5204e-05
1459975899650,1.13,1.7375999999999998e-05
1459975899660,1.13,2.5702e-05
1459975899670,1.13,1.6652e-05
1459975899680,1.13,1.8100000000000003e-05
1459975899690,1.13,1.0136000000000001e-05
1459975899700,1.13,7.602e-06
1459975899710,1.13,7.964e-06
1459975899720,1.13,1.1584000000000001e-05
1459975899730,1.13,9.05e-06
1459975899740,1.13,1.7014e-05
