,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
681,0,0.8692715430861724,10.688561538185803,1.086,0.860101310268067,1.692376221516439,0.2244930812271522,0,TCTPH,PROTON,I
682,1,0.7973857791225416,19.26969584681661,1.086,0.7777862766377607,19.60177726345594,0.30821369088529466,0,TCTPH,PROTON,I
683,0,1.0782279108175066,6.427834830830134,1.4480000000000004,1.0806652618728678,24.409456307147234,0.3673347368608483,0,TCLA,PROTON,I
684,0,6.123437704918032,6.938918106964562,7.24,7.18906475322475,0.38615609552585684,0.9315495135688503,0,TCSG,PROTON,I
685,0,1.11838338658147,13.976787694399448,1.4480000000000004,1.1265883626935136,1.4938710765236414,0.3354454533290531,0,TCSG,PROTON,I
686,0,5.528464000000001,7.668664719684504,5.792000000000002,5.527298824772979,30.992727383678904,0.2647011752308151,0,TCTPH,PROTON,I
687,1,1.1484450000000004,17.16799628837503,1.4480000000000004,1.1331384891258707,19.538399673369106,0.314861437319942,0,TCTPV,PROTON,I
688,1,1.4556019999999998,14.278371981962644,1.81,1.4655258762051826,44.30599959440447,0.34447412379485787,0,TCTPV,PROTON,I
689,0,0.8756342182890856,8.548964122693583,1.086,0.866624373575347,22.673104253572127,0.21937562501013597,0,TCTPH,PROTON,I
690,1,1.1708890000000003,16.864391554272835,1.4480000000000004,1.1512687214775312,18.76552667677376,0.2967312199521695,0,TCLIB,PROTON,I
691,1,1.2020210000000005,20.706751106159935,1.4480000000000004,1.1923638877522642,19.732320089423936,0.2556360618998215,0,TCTPH,PROTON,I
692,1,1.806923,7.019001520830984,2.172,1.8045609308375037,22.103773113116958,0.36743906461130044,0,TCLA,PROTON,I
693,0,1.4614141211817726,9.645817199173793,1.81,1.4597010108900517,41.259438797669006,0.35029898910995644,0,TCSG,PROTON,I
694,1,1.399593023255814,10.948697686965465,1.81,1.4141868135509152,24.64634351094171,0.3958131864491146,0,TCLA,PROTON,I
695,0,1.8092759999999997,12.62894946577798,2.534,1.7350617679018967,43.96096540274816,0.798938232098094,0,TCSG,PROTON,I
696,1,0.837306,20.059086862446268,1.086,0.8763209076749213,1.2638835846342842,0.24470402575328354,0,TCTPH,PROTON,I
697,1,1.2493641025641025,15.747956065003198,1.81,1.3247143820082508,15.874317945788956,0.48528547896248986,0,TCLA,PROTON,I
698,0,1.541034,10.416083217865438,1.81,1.532764068418773,20.16118820564721,0.2772359154098908,0,TCTPV,PROTON,I
699,1,0.8107348370927319,9.40731077752618,1.086,0.804549734169716,23.305422851308915,0.2814502619187692,0,TCTPV,PROTON,I
700,0,1.0771639969488942,6.233720395307468,1.4480000000000004,1.0859999999946068,36.297903030780894,0.36200000000554033,0,TCLA,PROTON,I
701,0,2.223585,18.971308372480735,2.534,2.2160485744402787,17.048549883336605,0.31795133041993834,0,TCTPH,PROTON,I
702,0,1.1528084252758277,15.735253035751223,1.4480000000000004,1.1548946142359695,16.420100622946848,0.29310517681776316,0,TCTPV,PROTON,I
703,1,1.0954355889724314,12.888990868166104,1.4480000000000004,1.1005041727527394,43.82351419449258,0.3474958272472906,0,TCTPV,PROTON,I
704,1,1.11838338658147,13.932543352220279,1.4480000000000004,1.1265883626935136,1.4938710765236414,0.3354454533290531,0,TCSG,PROTON,I
705,0,1.1437390000000003,13.80960671607489,1.4480000000000004,1.1397863012723104,21.016286826715817,0.3082136896613581,0,TCTPV,PROTON,I
706,1,1.1413860000000002,15.986314751425201,1.4480000000000004,1.1524774607187505,33.822597380473425,0.2955225383260517,0,TCTPV,PROTON,I
707,1,0.7649879759519038,11.914070077183469,1.086,0.7566342604536255,16.82373258087407,0.3293656098155569,0,TCSG,PROTON,I
708,1,1.1380415913200728,7.491308564831813,1.4480000000000004,1.1298787554781673,20.684738237473717,0.31812121303935925,0,TCLA,PROTON,I
709,1,1.1529700000000003,5.0774601596595526,1.4480000000000004,1.1029215351475006,23.427533669033863,0.3450784648523638,0,TCP,PROTON,I
710,1,1.111326235741445,6.777480306652781,1.4480000000000004,1.0491352239334788,23.648029264775797,0.39886477465022235,0,TCSG,PROTON,I
711,1,1.1289720323182104,14.038620856608297,1.4480000000000004,1.1210517181220545,20.638866446706217,0.3269482481768762,0,TCSG,PROTON,I
712,1,1.1437390000000003,13.631188024652738,1.4480000000000004,1.1397863012723104,21.016286826715817,0.3082136896613581,0,TCTPV,PROTON,I
713,1,1.4937107942973524,4.918126757038309,1.81,1.3972353557698247,16.60249300768116,0.4127646102586709,0,TCSP,PROTON,I
714,1,3.1075898463593843,8.787530860018638,4.3439999999999985,3.5928046733241947,30.189725550905788,0.7511953266758336,0,TCSG,PROTON,I
715,0,2.87066,5.617046589103759,3.982,2.5340121843759964,9.865319635582734,1.4479878124751457,0,TCLIA,PROTON,I
716,1,6.1612508763144715,10.940740334744042,6.516,6.1636694553491775,72.69567892358424,0.3523305446074245,0,TCLA,PROTON,I
717,0,1.507911,14.077234753208126,1.81,1.5048080120857847,25.987337697214258,0.3051919879144742,0,TCTPV,PROTON,I
718,1,7.70336,7.258131691081846,7.964,7.692897218150335,3.9173892768712073,0.27048495784904286,0,TCTPH,PROTON,I
719,0,1.2546239316239314,9.415730821953495,2.534,0.9998783777830498,0.16465423936795584,1.2107729415173767,0,TCP,PROTON,I
720,0,1.837512,8.424080210032859,2.172,1.8462422740729274,1.9634582693214901,0.33549379756012576,0,TCLA,PROTON,I
721,1,1.141411269974769,12.731743506984255,1.4480000000000004,1.1589208638773998,33.43812421504723,0.28907913612271774,0,TCLA,PROTON,I
722,1,0.839264587525151,18.00506597524005,1.086,0.8388862177212524,19.97277699109036,0.2471137718537075,0,TCTPH,PROTON,I
723,0,1.4926375939849623,10.703817208094238,1.81,1.5046987951780662,25.958957839931436,0.3053012040665001,0,TCTPV,PROTON,I
724,0,1.1285350000000003,20.288940939360824,1.4480000000000004,1.136764587524731,20.15301186834541,0.3112353920762628,0,TCTPH,PROTON,I
725,1,2.147744627054361,4.584996144229613,2.534,1.7025854140344958,0.9583812300659011,0.8829004077090052,0,TCSP,PROTON,I
726,1,1.1477210000000002,15.272639985736577,1.4480000000000004,1.1366344882870196,2.072553255237224,0.3061361780570167,0,TCTPV,PROTON,I
727,0,5.435430000000002,13.799806398108238,5.792000000000002,5.446921534927986,48.21276673650886,0.34507846506294354,0,TCLA,PROTON,I
728,0,1.1366800000000004,19.092669266798637,1.4480000000000004,1.1373689344089397,20.59206605199991,0.31063105236448274,0,TCTPH,PROTON,I
729,0,1.5482433650475713,7.066371107322805,1.81,0.9838902931042179,0.18934947782127376,0.29759063264976743,0,TCP,PROTON,I
730,0,1.129045573598743,13.991233106881348,1.4480000000000004,1.1204474130589124,44.882513970005185,0.32755258694110345,0,TCSG,PROTON,I
731,1,2.896544088176353,14.546331702750573,3.258,2.907482458310749,50.501810871278934,0.3505175335835105,0,TCSG,PROTON,I
