,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
340,1536855860_TCSG.B4R7.B2_Align,0,6.939080459770116,4.575925830668656,7.964,6.735557661528397,2.8571517943042686,1.2238245562772794,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855860_TCSG.B4R7.B2_Align,TCSG,PROTON,I
341,1536857486_TCSG.A5R7.B2_Align,1,6.6427,2.7453298906357935,10.86,5.5556741912342185,0.5256418540180152,4.844373520737491,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857486_TCSG.A5R7.B2_Align,TCSG,PROTON,I
342,1536857486_TCSG.A5R7.B2_Align,0,6.6427,2.87280789550777,10.86,5.5556741912342185,0.5256418540180152,4.844373520737491,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857486_TCSG.A5R7.B2_Align,TCSG,PROTON,I
343,1536859806_TCTPH.4R2.B2_Align,0,747.0648299999999,2.8304720953232247,753.5029999999999,688.4628831723435,149.84774493994325,65.04011694948375,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859806_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
344,1536855338_TCSG.5R3.B2_Align,1,4.2051279069767435,4.879139665720151,5.249,4.078891217652097,0.3329679762432429,1.2542443911943986,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855338_TCSG.5R3.B2_Align,TCSG,PROTON,I
345,1536855338_TCSG.5R3.B2_Align,0,4.2051279069767435,5.512794167761729,5.249,4.078891217652097,0.3329679762432429,1.2542443911943986,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536855338_TCSG.5R3.B2_Align,TCSG,PROTON,I
346,1536868207_TCTPV.4R5.B2_Align,1,323.23732673267324,1.4278740283087772,331.592,311.45990102310407,0.4297690547957052,13.7800390090895,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868207_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
347,1536865315_TCTPH.4R2.B2_Align,1,1.9574555555555557,2.1337405027867304,2.353,1.8481013930494368,0.6968548785111432,0.5245843851709857,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865315_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
348,1536865315_TCTPH.4R2.B2_Align,0,1.9574555555555557,3.274638485909431,2.353,1.8481013930494368,0.6968548785111432,0.5245843851709857,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536865315_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
349,1536860392_TCTPH.4R2.B2_Align,0,48.49941666666667,2.4995245889776574,50.137,44.66286973748768,1.7049854430685554,5.174889355944195,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860392_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
350,1536866510_TCTPH.4R2.B2_Align,0,39.50094680851064,5.948345973072264,40.363,38.74451347799477,0.39913453384774433,1.9890970076700651,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536866510_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
351,1536867417_TCTPV.4R5.B2_Align,0,9.221166666666665,3.7729916343186822,9.774,9.163935714888591,0.3678562425225805,0.9072501727047249,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536867417_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
352,1536860433_TCTPH.4R2.B2_Align,0,355.7081931818182,2.325341690773053,362.90500000000003,340.9572247873072,83.04690842687147,21.94777527513189,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536860433_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
353,1536859903_TCP.C6R7.B2_Align,1,1882.0648571428571,2.5474580375322016,1965.48,1800.8280583998385,0.592975397654434,163.29570525041942,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859903_TCP.C6R7.B2_Align,TCP,PROTON,I
354,1536859903_TCP.C6R7.B2_Align,0,1882.0648571428571,1.8414209784408797,1965.48,1800.8280583998385,0.592975397654434,163.29570525041942,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536859903_TCP.C6R7.B2_Align,TCP,PROTON,I
355,1536868264_TCTPV.4R5.B2_Align,0,36.506913043478264,3.4609396960215344,44.888,38.20044956023981,0.8232763243684661,7.727855782060278,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536868264_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
356,1536857044_TCP.D6R7.B2_Align,1,486.8072021276596,1.3559254080500875,494.492,468.2645242144162,0.30506665636647884,15.885663952505148,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD3/1536857044_TCP.D6R7.B2_Align,TCP,PROTON,I
