Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602022330,8.81,3.6200000000000004e-07
1459602022340,8.81,3.6200000000000004e-07
1459602022350,8.81,3.6200000000000004e-07
1459602022360,8.81,0.0
1459602022370,8.81,3.6200000000000004e-07
1459602022380,8.81,0.0
1459602022390,8.81,0.0
1459602022400,8.81,3.6200000000000004e-07
1459602022410,8.81,0.0
1459602022420,8.81,7.240000000000001e-07
1459602022430,8.81,0.0
1459602022440,8.81,0.0
1459602022450,8.81,3.6200000000000004e-07
1459602022460,8.81,1.0859999999999999e-06
1459602022470,8.81,3.6200000000000004e-07
1459602022480,8.81,0.0
1459602022490,8.81,7.240000000000001e-07
1459602022500,8.81,0.0
1459602022510,8.81,3.6200000000000004e-07
1459602022520,8.81,0.0
1459602022530,8.81,3.6200000000000004e-07
1459602022540,8.81,0.0
1459602022550,8.81,3.6200000000000004e-07
1459602022560,8.81,0.0
1459602022570,8.81,3.6200000000000004e-07
1459602022580,8.81,3.6200000000000004e-07
1459602022590,8.81,3.6200000000000004e-07
1459602022600,8.81,3.6200000000000004e-07
1459602022610,8.81,7.240000000000001e-07
1459602022620,8.81,7.240000000000001e-07
1459602022630,8.81,3.6200000000000004e-07
1459602022640,8.81,0.0
1459602022650,8.81,0.0
1459602022660,8.81,3.6200000000000004e-07
1459602022670,8.81,0.0
1459602022680,8.81,0.0
1459602022690,8.81,0.0
1459602022700,8.81,3.6200000000000004e-07
1459602022710,8.81,3.6200000000000004e-07
1459602022720,8.81,0.0
1459602022730,8.81,1.0859999999999999e-06
1459602022740,8.81,0.0
1459602022750,8.81,7.240000000000001e-07
1459602022760,8.81,0.0
1459602022770,8.81,3.6200000000000004e-07
1459602022780,8.81,3.6200000000000004e-07
1459602022790,8.81,7.240000000000001e-07
1459602022800,8.81,0.0
1459602022810,8.81,3.6200000000000004e-07
1459602022820,8.81,0.0
1459602022830,8.81,0.0
1459602022840,8.81,3.6200000000000004e-07
1459602022850,8.81,3.6200000000000004e-07
1459602022860,8.81,3.6200000000000004e-07
1459602022870,8.81,3.6200000000000004e-07
1459602022880,8.81,0.0
1459602022890,8.81,3.6200000000000004e-07
1459602022900,8.81,0.0
1459602022910,8.81,3.6200000000000004e-07
1459602022920,8.81,3.6200000000000004e-07
1459602022930,8.81,3.6200000000000004e-07
1459602022940,8.81,3.6200000000000004e-07
1459602022950,8.81,7.240000000000001e-07
1459602022960,8.81,0.0
1459602022970,8.81,3.6200000000000004e-07
1459602022980,8.81,0.0
1459602022990,8.81,1.0859999999999999e-06
1459602023000,8.81,0.0
1459602023010,8.81,0.0
1459602023020,8.81,3.6200000000000004e-07
1459602023030,8.81,0.0
1459602023040,8.81,7.240000000000001e-07
1459602023050,8.81,0.0
1459602023060,8.81,0.0
1459602023070,8.81,7.240000000000001e-07
1459602023080,8.81,3.6200000000000004e-07
1459602023090,8.81,0.0
1459602023100,8.81,3.6200000000000004e-07
1459602023110,8.81,3.6200000000000004e-07
1459602023120,8.81,1.0859999999999999e-06
1459602023130,8.81,0.0
1459602023140,8.81,3.6200000000000004e-07
1459602023150,8.81,7.240000000000001e-07
1459602023160,8.81,0.0
1459602023170,8.81,3.6200000000000004e-07
1459602023180,8.81,0.0
1459602023190,8.81,7.240000000000001e-07
1459602023200,8.81,0.0
1459602023210,8.81,7.240000000000001e-07
1459602023220,8.81,0.0
1459602023230,8.81,3.6200000000000004e-07
1459602023240,8.81,3.6200000000000004e-07
1459602023250,8.81,3.6200000000000004e-07
1459602023260,8.81,0.0
1459602023270,8.81,0.0
1459602023280,8.81,3.6200000000000004e-07
1459602023290,8.81,0.0
1459602023300,8.81,0.0
1459602023310,8.81,7.240000000000001e-07
1459602023320,8.81,0.0
1459602023330,8.81,3.6200000000000004e-07
1459602023340,8.81,0.0
1459602023350,8.81,0.0
1459602023360,8.81,7.240000000000001e-07
1459602023370,8.81,0.0
1459602023380,8.81,3.6200000000000004e-07
1459602023390,8.81,3.6200000000000004e-07
1459602023400,8.81,0.0
1459602023410,8.81,3.6200000000000004e-07
1459602023420,8.81,0.0
1459602023430,8.81,3.6200000000000004e-07
1459602023440,8.81,0.0
1459602023450,8.81,7.240000000000001e-07
1459602023460,8.81,7.240000000000001e-07
1459602023470,8.81,7.240000000000001e-07
1459602023480,8.81,0.0
1459602023490,8.81,0.0
1459602023500,8.81,1.0859999999999999e-06
1459602023510,8.81,0.0
1459602023520,8.81,0.0
1459602023530,8.81,0.0
1459602023540,8.81,3.6200000000000004e-07
1459602023550,8.81,3.6200000000000004e-07
1459602023560,8.81,3.6200000000000004e-07
1459602023570,8.81,3.6200000000000004e-07
1459602023580,8.81,3.6200000000000004e-07
1459602023590,8.81,0.0
1459602023600,8.81,3.6200000000000004e-07
1459602023610,8.81,3.6200000000000004e-07
1459602023620,8.81,0.0
1459602023630,8.81,0.0
1459602023640,8.81,0.0
1459602023650,8.81,7.240000000000001e-07
1459602023660,8.81,0.0
1459602023670,8.81,1.0859999999999999e-06
1459602023680,8.81,3.6200000000000004e-07
1459602023690,8.81,7.240000000000001e-07
1459602023700,8.81,0.0
1459602023710,8.81,3.6200000000000004e-07
1459602023720,8.81,3.6200000000000004e-07
1459602023730,8.81,0.0
1459602023740,8.81,3.6200000000000004e-07
1459602023750,8.81,0.0
1459602023760,8.81,0.0
1459602023770,8.81,3.6200000000000004e-07
1459602023780,8.81,7.240000000000001e-07
1459602023790,8.81,0.0
1459602023800,8.81,1.0859999999999999e-06
1459602023810,8.81,3.6200000000000004e-07
1459602023820,8.81,0.0
1459602023830,8.81,3.6200000000000004e-07
1459602023840,8.81,0.0
1459602023850,8.81,0.0
1459602023860,8.81,0.0
1459602023870,8.81,0.0
