Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459607657670,9.31,1.4480000000000002e-06
1459607657680,9.31,1.0859999999999999e-06
1459607657690,9.31,0.0
1459607657700,9.31,7.240000000000001e-07
1459607657710,9.31,0.0
1459607657720,9.31,0.0
1459607657730,9.31,2.1719999999999997e-06
1459607657740,9.31,7.240000000000001e-07
1459607657750,9.31,0.0
1459607657760,9.31,7.240000000000001e-07
1459607657770,9.31,0.0
1459607657780,9.31,0.0
1459607657790,9.31,0.0
1459607657800,9.31,0.0
1459607657810,9.31,0.0
1459607657820,9.31,0.0
1459607657830,9.31,0.0
1459607657840,9.31,0.0
1459607657850,9.31,0.0
1459607657860,9.31,0.0
1459607657870,9.31,1.81e-06
1459607657880,9.31,0.0
1459607657890,9.31,0.0
1459607657900,9.31,0.0
1459607657910,9.31,2.5340000000000002e-06
1459607657920,9.31,0.0
1459607657930,9.31,0.0
1459607657940,9.31,0.0
1459607657950,9.31,0.0
1459607657960,9.31,0.0
1459607657970,9.31,0.0
1459607657980,9.31,0.0
1459607657990,9.31,7.240000000000001e-07
1459607658000,9.31,0.0
1459607658010,9.31,3.6200000000000004e-07
1459607658020,9.31,0.0
1459607658030,9.31,7.240000000000001e-07
1459607658040,9.31,0.0
1459607658050,9.31,0.0
1459607658060,9.31,0.0
1459607658070,9.31,7.240000000000001e-07
1459607658080,9.31,0.0
1459607658090,9.31,0.0
1459607658100,9.31,0.0
1459607658110,9.31,0.0
1459607658120,9.31,0.0
1459607658130,9.31,3.6200000000000004e-07
1459607658140,9.31,0.0
1459607658150,9.31,0.0
1459607658160,9.31,0.0
1459607658170,9.31,1.81e-06
1459607658180,9.31,0.0
1459607658190,9.31,3.6200000000000004e-07
1459607658200,9.31,0.0
1459607658210,9.31,0.0
1459607658220,9.31,0.0
1459607658230,9.31,7.240000000000001e-07
1459607658240,9.31,0.0
1459607658250,9.31,0.0
1459607658260,9.31,0.0
1459607658270,9.31,0.0
1459607658280,9.31,0.0
1459607658290,9.31,3.6200000000000004e-07
1459607658300,9.31,0.0
1459607658310,9.31,7.240000000000001e-07
1459607658320,9.31,0.0
1459607658330,9.31,0.0
1459607658340,9.31,7.240000000000001e-07
1459607658350,9.31,0.0
1459607658360,9.31,0.0
1459607658370,9.31,0.0
1459607658380,9.31,7.240000000000001e-07
1459607658390,9.31,0.0
1459607658400,9.31,0.0
1459607658410,9.31,7.240000000000001e-07
