Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1459604815180,-9.655,7.240000000000001e-07
1459604815190,-9.655,3.6200000000000004e-07
1459604815200,-9.655,0.0
1459604815210,-9.655,0.0
1459604815220,-9.655,7.240000000000001e-07
1459604815230,-9.655,0.0
1459604815240,-9.655,1.0859999999999999e-06
1459604815250,-9.655,0.0
1459604815260,-9.655,0.0
1459604815270,-9.655,0.0
1459604815280,-9.655,0.0
1459604815290,-9.655,7.240000000000001e-07
1459604815300,-9.655,0.0
1459604815310,-9.655,7.240000000000001e-07
1459604815320,-9.655,0.0
1459604815330,-9.655,1.4480000000000002e-06
1459604815340,-9.655,0.0
1459604815350,-9.655,0.0
1459604815360,-9.655,3.6200000000000004e-07
1459604815370,-9.655,3.6200000000000004e-07
1459604815380,-9.655,0.0
1459604815390,-9.655,0.0
1459604815400,-9.655,3.6200000000000004e-07
1459604815410,-9.655,0.0
1459604815420,-9.655,3.6200000000000004e-07
1459604815430,-9.655,0.0
1459604815440,-9.655,7.240000000000001e-07
1459604815450,-9.655,0.0
1459604815460,-9.655,3.6200000000000004e-07
1459604815470,-9.655,3.6200000000000004e-07
1459604815480,-9.655,3.6200000000000004e-07
1459604815490,-9.655,0.0
1459604815500,-9.655,0.0
1459604815510,-9.655,1.0859999999999999e-06
1459604815520,-9.655,0.0
1459604815530,-9.655,3.6200000000000004e-07
1459604815540,-9.655,0.0
1459604815550,-9.655,3.6200000000000004e-07
1459604815560,-9.655,3.6200000000000004e-07
1459604815570,-9.655,3.6200000000000004e-07
1459604815580,-9.655,0.0
1459604815590,-9.655,3.6200000000000004e-07
1459604815600,-9.655,3.6200000000000004e-07
1459604815610,-9.655,0.0
1459604815620,-9.655,0.0
1459604815630,-9.655,0.0
1459604815640,-9.655,7.240000000000001e-07
1459604815650,-9.655,0.0
1459604815660,-9.655,3.6200000000000004e-07
1459604815670,-9.655,0.0
1459604815680,-9.655,7.240000000000001e-07
1459604815690,-9.655,0.0
1459604815700,-9.655,7.240000000000001e-07
1459604815710,-9.655,3.6200000000000004e-07
1459604815720,-9.655,0.0
1459604815730,-9.655,0.0
1459604815740,-9.655,0.0
1459604815750,-9.655,7.240000000000001e-07
1459604815760,-9.655,0.0
1459604815770,-9.655,7.240000000000001e-07
1459604815780,-9.655,0.0
1459604815790,-9.655,1.0859999999999999e-06
1459604815800,-9.655,0.0
1459604815810,-9.655,7.240000000000001e-07
1459604815820,-9.655,0.0
1459604815830,-9.655,0.0
1459604815840,-9.655,7.240000000000001e-07
1459604815850,-9.655,0.0
1459604815860,-9.655,3.6200000000000004e-07
1459604815870,-9.655,0.0
1459604815880,-9.655,1.0859999999999999e-06
1459604815890,-9.655,0.0
1459604815900,-9.655,0.0
1459604815910,-9.655,7.240000000000001e-07
1459604815920,-9.655,3.6200000000000004e-07
1459604815930,-9.655,3.6200000000000004e-07
1459604815940,-9.655,0.0
1459604815950,-9.655,7.240000000000001e-07
1459604815960,-9.655,3.6200000000000004e-07
1459604815970,-9.655,3.6200000000000004e-07
1459604815980,-9.655,3.6200000000000004e-07
1459604815990,-9.655,3.6200000000000004e-07
1459604816000,-9.655,0.0
1459604816010,-9.655,3.6200000000000004e-07
1459604816020,-9.655,7.240000000000001e-07
1459604816030,-9.655,0.0
1459604816040,-9.655,1.0859999999999999e-06
1459604816050,-9.655,0.0
1459604816060,-9.655,0.0
1459604816070,-9.655,0.0
1459604816080,-9.655,7.240000000000001e-07
1459604816090,-9.655,0.0
1459604816100,-9.655,1.0859999999999999e-06
1459604816110,-9.655,0.0
1459604816120,-9.655,1.0859999999999999e-06
1459604816130,-9.655,0.0
1459604816140,-9.655,0.0
1459604816150,-9.655,3.6200000000000004e-07
1459604816160,-9.655,0.0
1459604816170,-9.655,3.6200000000000004e-07
1459604816180,-9.655,3.6200000000000004e-07
1459604816190,-9.655,1.4480000000000002e-06
1459604816200,-9.655,0.0
1459604816210,-9.655,0.0
1459604816220,-9.655,0.0
1459604816230,-9.655,0.0
1459604816240,-9.655,7.240000000000001e-07
1459604816250,-9.655,0.0
1459604816260,-9.655,7.240000000000001e-07
1459604816270,-9.655,0.0
1459604816280,-9.655,7.240000000000001e-07
1459604816290,-9.655,3.6200000000000004e-07
1459604816300,-9.655,0.0
1459604816310,-9.655,0.0
1459604816320,-9.655,7.240000000000001e-07
1459604816330,-9.655,0.0
1459604816340,-9.655,3.6200000000000004e-07
