Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607402020,8.335,3.6200000000000004e-07
1459607402030,8.335,1.0859999999999999e-06
1459607402040,8.335,3.6200000000000004e-07
1459607402050,8.335,3.6200000000000004e-07
1459607402060,8.335,0.0
1459607402070,8.335,1.0859999999999999e-06
1459607402080,8.335,0.0
1459607402090,8.335,3.6200000000000004e-07
1459607402100,8.335,0.0
1459607402110,8.335,7.240000000000001e-07
1459607402120,8.335,3.6200000000000004e-07
1459607402130,8.335,7.240000000000001e-07
1459607402140,8.335,0.0
1459607402150,8.335,7.240000000000001e-07
1459607402160,8.335,3.6200000000000004e-07
1459607402170,8.335,1.0859999999999999e-06
1459607402180,8.335,0.0
1459607402190,8.335,7.240000000000001e-07
1459607402200,8.335,3.6200000000000004e-07
1459607402210,8.335,3.6200000000000004e-07
1459607402220,8.335,3.6200000000000004e-07
1459607402230,8.335,7.240000000000001e-07
1459607402240,8.335,3.6200000000000004e-07
1459607402250,8.335,1.0859999999999999e-06
1459607402260,8.335,3.6200000000000004e-07
1459607402270,8.335,0.0
1459607402280,8.335,7.240000000000001e-07
1459607402290,8.335,7.240000000000001e-07
1459607402300,8.335,0.0
1459607402310,8.335,3.6200000000000004e-07
1459607402320,8.335,0.0
1459607402330,8.335,7.240000000000001e-07
1459607402340,8.335,3.6200000000000004e-07
1459607402350,8.335,1.0859999999999999e-06
1459607402360,8.335,3.6200000000000004e-07
1459607402370,8.335,7.240000000000001e-07
1459607402380,8.335,3.6200000000000004e-07
1459607402390,8.335,7.240000000000001e-07
1459607402400,8.335,0.0
1459607402410,8.335,1.0859999999999999e-06
1459607402420,8.335,0.0
1459607402430,8.335,1.0859999999999999e-06
1459607402440,8.335,0.0
1459607402450,8.335,1.0859999999999999e-06
1459607402460,8.335,0.0
1459607402470,8.335,1.0859999999999999e-06
1459607402480,8.335,0.0
1459607402490,8.335,1.0859999999999999e-06
1459607402500,8.335,3.6200000000000004e-07
1459607402510,8.335,3.6200000000000004e-07
1459607402520,8.335,0.0
1459607402530,8.335,7.240000000000001e-07
1459607402540,8.335,3.6200000000000004e-07
1459607402550,8.335,3.6200000000000004e-07
1459607402560,8.335,0.0
1459607402570,8.335,1.0859999999999999e-06
1459607402580,8.335,7.240000000000001e-07
1459607402590,8.335,3.6200000000000004e-07
1459607402600,8.335,3.6200000000000004e-07
1459607402610,8.335,1.0859999999999999e-06
1459607402620,8.335,3.6200000000000004e-07
1459607402630,8.335,7.240000000000001e-07
1459607402640,8.335,0.0
1459607402650,8.335,0.0
1459607402660,8.335,0.0
1459607402670,8.335,7.240000000000001e-07
1459607402680,8.335,0.0
1459607402690,8.335,3.6200000000000004e-07
1459607402700,8.335,3.6200000000000004e-07
1459607402710,8.335,7.240000000000001e-07
1459607402720,8.335,3.6200000000000004e-07
1459607402730,8.335,7.240000000000001e-07
1459607402740,8.335,0.0
1459607402750,8.335,1.0859999999999999e-06
1459607402790,8.335,3.6200000000000004e-07
1459607402800,8.335,1.0859999999999999e-06
1459607402810,8.335,7.240000000000001e-07
1459607402820,8.335,7.240000000000001e-07
1459607402830,8.335,0.0
1459607402840,8.335,7.240000000000001e-07
1459607402850,8.335,0.0
1459607402860,8.335,1.0859999999999999e-06
1459607402870,8.335,3.6200000000000004e-07
1459607402880,8.335,7.240000000000001e-07
1459607402890,8.335,0.0
1459607402900,8.335,7.240000000000001e-07
